[autoresearch/mar9 c2a5fd6] exp50: per-row WD text=0.5 audio=3.0
 1 file changed, 1 insertion(+), 1 deletion(-)
Vocab size: 20,482
Model config: {'sequence_len': 2048, 'vocab_size': 20482, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 10,486,784
  value_embeds            : 41,947,136
  lm_head                 : 10,486,784
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 88,087,056
Estimated FLOPs per token: 2.768333e+08
Per-row WD: text=0.5, audio=3.0
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.927699 | lrm: 1.00 | dt: 6496ms | tok/sec: 40,353 | mfu: 1.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 10.038246 | lrm: 1.00 | dt: 845ms | tok/sec: 310,132 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.907084 | lrm: 1.00 | dt: 846ms | tok/sec: 309,721 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.556486 | lrm: 1.00 | dt: 850ms | tok/sec: 308,525 | mfu: 8.6% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.228317 | lrm: 1.00 | dt: 848ms | tok/sec: 309,048 | mfu: 8.6% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.912773 | lrm: 1.00 | dt: 846ms | tok/sec: 309,715 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.640766 | lrm: 1.00 | dt: 847ms | tok/sec: 309,366 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.395439 | lrm: 1.00 | dt: 849ms | tok/sec: 308,673 | mfu: 8.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.171119 | lrm: 1.00 | dt: 849ms | tok/sec: 308,939 | mfu: 8.6% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.947994 | lrm: 1.00 | dt: 847ms | tok/sec: 309,447 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.788825 | lrm: 1.00 | dt: 849ms | tok/sec: 308,732 | mfu: 8.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.622396 | lrm: 1.00 | dt: 847ms | tok/sec: 309,350 | mfu: 8.7% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 7.492868 | lrm: 1.00 | dt: 847ms | tok/sec: 309,349 | mfu: 8.7% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 7.378397 | lrm: 1.00 | dt: 850ms | tok/sec: 308,568 | mfu: 8.6% | epoch: 1 | remaining: 297s    
step 00014 (0.8%) | loss: 7.286046 | lrm: 1.00 | dt: 847ms | tok/sec: 309,380 | mfu: 8.7% | epoch: 1 | remaining: 297s    
step 00015 (1.1%) | loss: 7.198604 | lrm: 1.00 | dt: 848ms | tok/sec: 309,260 | mfu: 8.7% | epoch: 1 | remaining: 296s    
step 00016 (1.4%) | loss: 7.112790 | lrm: 1.00 | dt: 848ms | tok/sec: 309,215 | mfu: 8.7% | epoch: 1 | remaining: 295s    
step 00017 (1.7%) | loss: 7.026740 | lrm: 1.00 | dt: 848ms | tok/sec: 309,135 | mfu: 8.6% | epoch: 1 | remaining: 294s    
step 00018 (2.0%) | loss: 6.970030 | lrm: 1.00 | dt: 848ms | tok/sec: 309,042 | mfu: 8.6% | epoch: 1 | remaining: 293s    
step 00019 (2.3%) | loss: 6.912714 | lrm: 1.00 | dt: 849ms | tok/sec: 308,816 | mfu: 8.6% | epoch: 1 | remaining: 292s    
step 00020 (2.5%) | loss: 6.863986 | lrm: 1.00 | dt: 848ms | tok/sec: 308,985 | mfu: 8.6% | epoch: 1 | remaining: 292s    
step 00021 (2.8%) | loss: 6.800968 | lrm: 1.00 | dt: 849ms | tok/sec: 308,913 | mfu: 8.6% | epoch: 1 | remaining: 291s    
step 00022 (3.1%) | loss: 6.763748 | lrm: 1.00 | dt: 848ms | tok/sec: 309,070 | mfu: 8.6% | epoch: 1 | remaining: 290s    
step 00023 (3.4%) | loss: 6.722823 | lrm: 1.00 | dt: 848ms | tok/sec: 308,980 | mfu: 8.6% | epoch: 1 | remaining: 289s    
step 00024 (3.7%) | loss: 6.683717 | lrm: 1.00 | dt: 849ms | tok/sec: 308,941 | mfu: 8.6% | epoch: 1 | remaining: 288s    
step 00025 (4.0%) | loss: 6.648877 | lrm: 1.00 | dt: 849ms | tok/sec: 308,883 | mfu: 8.6% | epoch: 1 | remaining: 287s    
step 00026 (4.2%) | loss: 6.617490 | lrm: 1.00 | dt: 849ms | tok/sec: 308,945 | mfu: 8.6% | epoch: 1 | remaining: 286s    
step 00027 (4.5%) | loss: 6.593016 | lrm: 1.00 | dt: 848ms | tok/sec: 308,962 | mfu: 8.6% | epoch: 1 | remaining: 286s    
step 00028 (4.8%) | loss: 6.556337 | lrm: 1.00 | dt: 848ms | tok/sec: 308,955 | mfu: 8.6% | epoch: 1 | remaining: 285s    
step 00029 (5.1%) | loss: 6.519630 | lrm: 1.00 | dt: 850ms | tok/sec: 308,538 | mfu: 8.6% | epoch: 1 | remaining: 284s    
step 00030 (5.4%) | loss: 6.495145 | lrm: 1.00 | dt: 849ms | tok/sec: 308,742 | mfu: 8.6% | epoch: 1 | remaining: 283s    
step 00031 (5.7%) | loss: 6.467171 | lrm: 1.00 | dt: 849ms | tok/sec: 308,904 | mfu: 8.6% | epoch: 1 | remaining: 282s    
step 00032 (5.9%) | loss: 6.441454 | lrm: 1.00 | dt: 849ms | tok/sec: 308,810 | mfu: 8.6% | epoch: 1 | remaining: 281s    
step 00033 (6.2%) | loss: 6.430903 | lrm: 1.00 | dt: 849ms | tok/sec: 308,661 | mfu: 8.6% | epoch: 1 | remaining: 280s    
step 00034 (6.5%) | loss: 6.423967 | lrm: 1.00 | dt: 850ms | tok/sec: 308,535 | mfu: 8.6% | epoch: 1 | remaining: 280s    
step 00035 (6.8%) | loss: 6.406816 | lrm: 1.00 | dt: 850ms | tok/sec: 308,524 | mfu: 8.6% | epoch: 1 | remaining: 279s    
step 00036 (7.1%) | loss: 6.387681 | lrm: 1.00 | dt: 850ms | tok/sec: 308,456 | mfu: 8.6% | epoch: 1 | remaining: 278s    
step 00037 (7.4%) | loss: 6.369660 | lrm: 1.00 | dt: 849ms | tok/sec: 308,656 | mfu: 8.6% | epoch: 1 | remaining: 277s    
