[autoresearch/mar9 bf3dda0] exp54: per-row WD text=0.0 audio=5.0
 1 file changed, 1 insertion(+), 1 deletion(-)
Vocab size: 20,482
Model config: {'sequence_len': 2048, 'vocab_size': 20482, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 10,486,784
  value_embeds            : 41,947,136
  lm_head                 : 10,486,784
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 88,087,056
Estimated FLOPs per token: 2.768333e+08
Per-row WD: text=0.0, audio=5.0
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.927700 | lrm: 1.00 | dt: 6512ms | tok/sec: 40,253 | mfu: 1.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 10.052853 | lrm: 1.00 | dt: 847ms | tok/sec: 309,536 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.835622 | lrm: 1.00 | dt: 847ms | tok/sec: 309,637 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.493741 | lrm: 1.00 | dt: 847ms | tok/sec: 309,472 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.197066 | lrm: 1.00 | dt: 847ms | tok/sec: 309,480 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.928747 | lrm: 1.00 | dt: 847ms | tok/sec: 309,368 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.687026 | lrm: 1.00 | dt: 848ms | tok/sec: 309,263 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.436119 | lrm: 1.00 | dt: 849ms | tok/sec: 308,662 | mfu: 8.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.212198 | lrm: 1.00 | dt: 848ms | tok/sec: 309,034 | mfu: 8.6% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.995924 | lrm: 1.00 | dt: 848ms | tok/sec: 309,020 | mfu: 8.6% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.834437 | lrm: 1.00 | dt: 850ms | tok/sec: 308,400 | mfu: 8.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.667134 | lrm: 1.00 | dt: 849ms | tok/sec: 308,932 | mfu: 8.6% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 7.526155 | lrm: 1.00 | dt: 848ms | tok/sec: 309,009 | mfu: 8.6% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 7.406999 | lrm: 1.00 | dt: 850ms | tok/sec: 308,385 | mfu: 8.6% | epoch: 1 | remaining: 297s    
step 00014 (0.8%) | loss: 7.301683 | lrm: 1.00 | dt: 849ms | tok/sec: 308,945 | mfu: 8.6% | epoch: 1 | remaining: 297s    
step 00015 (1.1%) | loss: 7.198426 | lrm: 1.00 | dt: 848ms | tok/sec: 308,967 | mfu: 8.6% | epoch: 1 | remaining: 296s    
step 00016 (1.4%) | loss: 7.116933 | lrm: 1.00 | dt: 849ms | tok/sec: 308,817 | mfu: 8.6% | epoch: 1 | remaining: 295s    
step 00017 (1.7%) | loss: 7.028050 | lrm: 1.00 | dt: 849ms | tok/sec: 308,678 | mfu: 8.6% | epoch: 1 | remaining: 294s    
step 00018 (2.0%) | loss: 6.963088 | lrm: 1.00 | dt: 849ms | tok/sec: 308,724 | mfu: 8.6% | epoch: 1 | remaining: 293s    
step 00019 (2.3%) | loss: 6.903279 | lrm: 1.00 | dt: 850ms | tok/sec: 308,574 | mfu: 8.6% | epoch: 1 | remaining: 292s    
step 00020 (2.5%) | loss: 6.843473 | lrm: 1.00 | dt: 849ms | tok/sec: 308,631 | mfu: 8.6% | epoch: 1 | remaining: 292s    
step 00021 (2.8%) | loss: 6.774034 | lrm: 1.00 | dt: 850ms | tok/sec: 308,576 | mfu: 8.6% | epoch: 1 | remaining: 291s    
step 00022 (3.1%) | loss: 6.724615 | lrm: 1.00 | dt: 851ms | tok/sec: 308,008 | mfu: 8.6% | epoch: 1 | remaining: 290s    
step 00023 (3.4%) | loss: 6.672525 | lrm: 1.00 | dt: 849ms | tok/sec: 308,633 | mfu: 8.6% | epoch: 1 | remaining: 289s    
step 00024 (3.7%) | loss: 6.629271 | lrm: 1.00 | dt: 850ms | tok/sec: 308,451 | mfu: 8.6% | epoch: 1 | remaining: 288s    
step 00025 (4.0%) | loss: 6.584710 | lrm: 1.00 | dt: 850ms | tok/sec: 308,487 | mfu: 8.6% | epoch: 1 | remaining: 287s    
step 00026 (4.2%) | loss: 6.554651 | lrm: 1.00 | dt: 850ms | tok/sec: 308,536 | mfu: 8.6% | epoch: 1 | remaining: 286s    
step 00027 (4.5%) | loss: 6.524584 | lrm: 1.00 | dt: 850ms | tok/sec: 308,579 | mfu: 8.6% | epoch: 1 | remaining: 286s    
step 00028 (4.8%) | loss: 6.488562 | lrm: 1.00 | dt: 850ms | tok/sec: 308,550 | mfu: 8.6% | epoch: 1 | remaining: 285s    
step 00029 (5.1%) | loss: 6.445931 | lrm: 1.00 | dt: 852ms | tok/sec: 307,572 | mfu: 8.6% | epoch: 1 | remaining: 284s    
step 00030 (5.4%) | loss: 6.416325 | lrm: 1.00 | dt: 850ms | tok/sec: 308,252 | mfu: 8.6% | epoch: 1 | remaining: 283s    
step 00031 (5.7%) | loss: 6.375566 | lrm: 1.00 | dt: 850ms | tok/sec: 308,555 | mfu: 8.6% | epoch: 1 | remaining: 282s    
step 00032 (5.9%) | loss: 6.354262 | lrm: 1.00 | dt: 850ms | tok/sec: 308,430 | mfu: 8.6% | epoch: 1 | remaining: 281s    
step 00033 (6.2%) | loss: 6.330482 | lrm: 1.00 | dt: 850ms | tok/sec: 308,532 | mfu: 8.6% | epoch: 1 | remaining: 280s    
step 00034 (6.5%) | loss: 6.320002 | lrm: 1.00 | dt: 850ms | tok/sec: 308,238 | mfu: 8.6% | epoch: 1 | remaining: 280s    
step 00035 (6.8%) | loss: 6.288892 | lrm: 1.00 | dt: 850ms | tok/sec: 308,528 | mfu: 8.6% | epoch: 1 | remaining: 279s    
step 00036 (7.1%) | loss: 6.265006 | lrm: 1.00 | dt: 850ms | tok/sec: 308,352 | mfu: 8.6% | epoch: 1 | remaining: 278s    
step 00037 (7.4%) | loss: 6.242062 | lrm: 1.00 | dt: 850ms | tok/sec: 308,392 | mfu: 8.6% | epoch: 1 | remaining: 277s    
step 00038 (7.6%) | loss: 6.215406 | lrm: 1.00 | dt: 851ms | tok/sec: 308,011 | mfu: 8.6% | epoch: 1 | remaining: 276s    
step 00039 (7.9%) | loss: 6.189387 | lrm: 1.00 | dt: 850ms | tok/sec: 308,458 | mfu: 8.6% | epoch: 1 | remaining: 275s    
step 00040 (8.2%) | loss: 6.166391 | lrm: 1.00 | dt: 850ms | tok/sec: 308,397 | mfu: 8.6% | epoch: 1 | remaining: 275s    
step 00041 (8.5%) | loss: 6.151738 | lrm: 1.00 | dt: 850ms | tok/sec: 308,413 | mfu: 8.6% | epoch: 1 | remaining: 274s    
step 00042 (8.8%) | loss: 6.158103 | lrm: 1.00 | dt: 850ms | tok/sec: 308,492 | mfu: 8.6% | epoch: 1 | remaining: 273s    
step 00043 (9.1%) | loss: 6.153705 | lrm: 1.00 | dt: 850ms | tok/sec: 308,571 | mfu: 8.6% | epoch: 1 | remaining: 272s    
step 00044 (9.3%) | loss: 6.155611 | lrm: 1.00 | dt: 850ms | tok/sec: 308,494 | mfu: 8.6% | epoch: 1 | remaining: 271s    
step 00045 (9.6%) | loss: 6.152767 | lrm: 1.00 | dt: 850ms | tok/sec: 308,405 | mfu: 8.6% | epoch: 1 | remaining: 270s    
step 00046 (9.9%) | loss: 6.139673 | lrm: 1.00 | dt: 850ms | tok/sec: 308,474 | mfu: 8.6% | epoch: 1 | remaining: 269s    
step 00047 (10.2%) | loss: 6.132089 | lrm: 1.00 | dt: 850ms | tok/sec: 308,437 | mfu: 8.6% | epoch: 1 | remaining: 269s    
step 00048 (10.5%) | loss: 6.122578 | lrm: 1.00 | dt: 850ms | tok/sec: 308,404 | mfu: 8.6% | epoch: 1 | remaining: 268s    
step 00049 (10.8%) | loss: 6.114335 | lrm: 1.00 | dt: 850ms | tok/sec: 308,505 | mfu: 8.6% | epoch: 1 | remaining: 267s    
step 00050 (11.0%) | loss: 6.101683 | lrm: 1.00 | dt: 850ms | tok/sec: 308,359 | mfu: 8.6% | epoch: 1 | remaining: 266s    
step 00051 (11.3%) | loss: 6.102222 | lrm: 1.00 | dt: 850ms | tok/sec: 308,576 | mfu: 8.6% | epoch: 1 | remaining: 265s    
step 00052 (11.6%) | loss: 6.093906 | lrm: 1.00 | dt: 850ms | tok/sec: 308,276 | mfu: 8.6% | epoch: 1 | remaining: 264s    
step 00053 (11.9%) | loss: 6.076473 | lrm: 1.00 | dt: 850ms | tok/sec: 308,535 | mfu: 8.6% | epoch: 1 | remaining: 263s    
step 00054 (12.2%) | loss: 6.050016 | lrm: 1.00 | dt: 850ms | tok/sec: 308,455 | mfu: 8.6% | epoch: 1 | remaining: 263s    
step 00055 (12.5%) | loss: 6.033133 | lrm: 1.00 | dt: 850ms | tok/sec: 308,461 | mfu: 8.6% | epoch: 1 | remaining: 262s    
step 00056 (12.7%) | loss: 6.035158 | lrm: 1.00 | dt: 850ms | tok/sec: 308,461 | mfu: 8.6% | epoch: 1 | remaining: 261s    
step 00057 (13.0%) | loss: 6.024500 | lrm: 1.00 | dt: 849ms | tok/sec: 308,631 | mfu: 8.6% | epoch: 1 | remaining: 260s    
step 00058 (13.3%) | loss: 6.007357 | lrm: 1.00 | dt: 850ms | tok/sec: 308,583 | mfu: 8.6% | epoch: 1 | remaining: 259s    
step 00059 (13.6%) | loss: 5.988122 | lrm: 1.00 | dt: 850ms | tok/sec: 308,419 | mfu: 8.6% | epoch: 1 | remaining: 258s    
step 00060 (13.9%) | loss: 5.981461 | lrm: 1.00 | dt: 850ms | tok/sec: 308,459 | mfu: 8.6% | epoch: 1 | remaining: 258s    
step 00061 (14.2%) | loss: 5.964230 | lrm: 1.00 | dt: 850ms | tok/sec: 308,410 | mfu: 8.6% | epoch: 1 | remaining: 257s    
step 00062 (14.4%) | loss: 5.945917 | lrm: 1.00 | dt: 850ms | tok/sec: 308,424 | mfu: 8.6% | epoch: 1 | remaining: 256s    
step 00063 (14.7%) | loss: 5.945970 | lrm: 1.00 | dt: 850ms | tok/sec: 308,417 | mfu: 8.6% | epoch: 1 | remaining: 255s    
step 00064 (15.0%) | loss: 5.921774 | lrm: 1.00 | dt: 850ms | tok/sec: 308,295 | mfu: 8.6% | epoch: 1 | remaining: 254s    
step 00065 (15.3%) | loss: 5.901990 | lrm: 1.00 | dt: 850ms | tok/sec: 308,365 | mfu: 8.6% | epoch: 1 | remaining: 253s    
step 00066 (15.6%) | loss: 5.879317 | lrm: 1.00 | dt: 850ms | tok/sec: 308,273 | mfu: 8.6% | epoch: 1 | remaining: 252s    
step 00067 (15.9%) | loss: 5.870503 | lrm: 1.00 | dt: 850ms | tok/sec: 308,414 | mfu: 8.6% | epoch: 1 | remaining: 252s    
step 00068 (16.1%) | loss: 5.871299 | lrm: 1.00 | dt: 850ms | tok/sec: 308,434 | mfu: 8.6% | epoch: 1 | remaining: 251s    
step 00069 (16.4%) | loss: 5.855689 | lrm: 1.00 | dt: 850ms | tok/sec: 308,288 | mfu: 8.6% | epoch: 1 | remaining: 250s    
step 00070 (16.7%) | loss: 5.843819 | lrm: 1.00 | dt: 850ms | tok/sec: 308,496 | mfu: 8.6% | epoch: 1 | remaining: 249s    
step 00071 (17.0%) | loss: 5.825017 | lrm: 1.00 | dt: 850ms | tok/sec: 308,418 | mfu: 8.6% | epoch: 1 | remaining: 248s    
step 00072 (17.3%) | loss: 5.806561 | lrm: 1.00 | dt: 850ms | tok/sec: 308,326 | mfu: 8.6% | epoch: 1 | remaining: 247s    
step 00073 (17.6%) | loss: 5.792804 | lrm: 1.00 | dt: 851ms | tok/sec: 308,166 | mfu: 8.6% | epoch: 1 | remaining: 246s    
step 00074 (17.8%) | loss: 5.780885 | lrm: 1.00 | dt: 850ms | tok/sec: 308,343 | mfu: 8.6% | epoch: 1 | remaining: 246s    
step 00075 (18.1%) | loss: 5.772231 | lrm: 1.00 | dt: 850ms | tok/sec: 308,362 | mfu: 8.6% | epoch: 1 | remaining: 245s    
step 00076 (18.4%) | loss: 5.760602 | lrm: 1.00 | dt: 850ms | tok/sec: 308,544 | mfu: 8.6% | epoch: 1 | remaining: 244s    
step 00077 (18.7%) | loss: 5.749030 | lrm: 1.00 | dt: 850ms | tok/sec: 308,335 | mfu: 8.6% | epoch: 1 | remaining: 243s    
step 00078 (19.0%) | loss: 5.731468 | lrm: 1.00 | dt: 850ms | tok/sec: 308,493 | mfu: 8.6% | epoch: 1 | remaining: 242s    
step 00079 (19.3%) | loss: 5.712573 | lrm: 1.00 | dt: 850ms | tok/sec: 308,316 | mfu: 8.6% | epoch: 1 | remaining: 241s    
step 00080 (19.5%) | loss: 5.702897 | lrm: 1.00 | dt: 850ms | tok/sec: 308,286 | mfu: 8.6% | epoch: 1 | remaining: 241s    
step 00081 (19.8%) | loss: 5.697798 | lrm: 1.00 | dt: 851ms | tok/sec: 308,172 | mfu: 8.6% | epoch: 1 | remaining: 240s    
step 00082 (20.1%) | loss: 5.701237 | lrm: 1.00 | dt: 850ms | tok/sec: 308,368 | mfu: 8.6% | epoch: 1 | remaining: 239s    
step 00083 (20.4%) | loss: 5.693050 | lrm: 1.00 | dt: 850ms | tok/sec: 308,361 | mfu: 8.6% | epoch: 1 | remaining: 238s    
step 00084 (20.7%) | loss: 5.685923 | lrm: 1.00 | dt: 850ms | tok/sec: 308,405 | mfu: 8.6% | epoch: 1 | remaining: 237s    
step 00085 (21.0%) | loss: 5.679366 | lrm: 1.00 | dt: 852ms | tok/sec: 307,612 | mfu: 8.6% | epoch: 1 | remaining: 236s    
step 00086 (21.2%) | loss: 5.691064 | lrm: 1.00 | dt: 851ms | tok/sec: 308,145 | mfu: 8.6% | epoch: 1 | remaining: 235s    
step 00087 (21.5%) | loss: 5.680954 | lrm: 1.00 | dt: 850ms | tok/sec: 308,240 | mfu: 8.6% | epoch: 1 | remaining: 235s    
step 00088 (21.8%) | loss: 5.667287 | lrm: 1.00 | dt: 850ms | tok/sec: 308,245 | mfu: 8.6% | epoch: 1 | remaining: 234s    
step 00089 (22.1%) | loss: nan | lrm: 1.00 | dt: 847ms | tok/sec: 309,323 | mfu: 8.7% | epoch: 1 | remaining: 233s    
step 00090 (22.4%) | loss: nan | lrm: 1.00 | dt: 836ms | tok/sec: 313,745 | mfu: 8.8% | epoch: 1 | remaining: 232s    
step 00091 (22.7%) | loss: nan | lrm: 1.00 | dt: 835ms | tok/sec: 313,888 | mfu: 8.8% | epoch: 1 | remaining: 231s    
step 00092 (22.9%) | loss: nan | lrm: 1.00 | dt: 835ms | tok/sec: 313,828 | mfu: 8.8% | epoch: 1 | remaining: 230s    
step 00093 (23.2%) | loss: nan | lrm: 1.00 | dt: 835ms | tok/sec: 313,797 | mfu: 8.8% | epoch: 1 | remaining: 230s    
step 00094 (23.5%) | loss: nan | lrm: 1.00 | dt: 835ms | tok/sec: 313,787 | mfu: 8.8% | epoch: 1 | remaining: 229s    
step 00095 (23.8%) | loss: nan | lrm: 1.00 | dt: 835ms | tok/sec: 313,784 | mfu: 8.8% | epoch: 1 | remaining: 228s    
step 00096 (24.1%) | loss: nan | lrm: 1.00 | dt: 836ms | tok/sec: 313,731 | mfu: 8.8% | epoch: 1 | remaining: 227s    
step 00097 (24.3%) | loss: nan | lrm: 1.00 | dt: 837ms | tok/sec: 313,302 | mfu: 8.8% | epoch: 1 | remaining: 226s    
step 00098 (24.6%) | loss: nan | lrm: 1.00 | dt: 835ms | tok/sec: 313,760 | mfu: 8.8% | epoch: 1 | remaining: 225s    
step 00099 (24.9%) | loss: nan | lrm: 1.00 | dt: 836ms | tok/sec: 313,734 | mfu: 8.8% | epoch: 1 | remaining: 225s    
step 00100 (25.2%) | loss: nan | lrm: 1.00 | dt: 836ms | tok/sec: 313,533 | mfu: 8.8% | epoch: 1 | remaining: 224s    
step 00101 (25.4%) | loss: nan | lrm: 1.00 | dt: 835ms | tok/sec: 313,826 | mfu: 8.8% | epoch: 1 | remaining: 223s    
step 00102 (25.7%) | loss: nan | lrm: 1.00 | dt: 835ms | tok/sec: 313,796 | mfu: 8.8% | epoch: 1 | remaining: 222s    
step 00103 (26.0%) | loss: nan | lrm: 1.00 | dt: 835ms | tok/sec: 313,793 | mfu: 8.8% | epoch: 1 | remaining: 221s    
step 00104 (26.3%) | loss: nan | lrm: 1.00 | dt: 835ms | tok/sec: 313,763 | mfu: 8.8% | epoch: 1 | remaining: 220s    
step 00105 (26.6%) | loss: nan | lrm: 1.00 | dt: 835ms | tok/sec: 313,865 | mfu: 8.8% | epoch: 1 | remaining: 219s    
step 00106 (26.8%) | loss: nan | lrm: 1.00 | dt: 835ms | tok/sec: 313,858 | mfu: 8.8% | epoch: 1 | remaining: 219s    
step 00107 (27.1%) | loss: nan | lrm: 1.00 | dt: 836ms | tok/sec: 313,565 | mfu: 8.8% | epoch: 1 | remaining: 218s    
step 00108 (27.4%) | loss: nan | lrm: 1.00 | dt: 835ms | tok/sec: 313,844 | mfu: 8.8% | epoch: 1 | remaining: 217s    
step 00109 (27.7%) | loss: nan | lrm: 1.00 | dt: 835ms | tok/sec: 313,759 | mfu: 8.8% | epoch: 1 | remaining: 216s    
step 00110 (28.0%) | loss: nan | lrm: 1.00 | dt: 836ms | tok/sec: 313,667 | mfu: 8.8% | epoch: 1 | remaining: 215s    
step 00111 (28.2%) | loss: nan | lrm: 1.00 | dt: 836ms | tok/sec: 313,518 | mfu: 8.8% | epoch: 1 | remaining: 214s    
step 00112 (28.5%) | loss: nan | lrm: 1.00 | dt: 837ms | tok/sec: 313,305 | mfu: 8.8% | epoch: 1 | remaining: 214s    
step 00113 (28.8%) | loss: nan | lrm: 1.00 | dt: 835ms | tok/sec: 313,849 | mfu: 8.8% | epoch: 1 | remaining: 213s    
