[autoresearch/mar9 1980d79] exp56: per-row WD on wte+VE — text=0.0 audio=3.0
 1 file changed, 3 insertions(+), 3 deletions(-)
Vocab size: 20,482
Model config: {'sequence_len': 2048, 'vocab_size': 20482, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 10,486,784
  value_embeds            : 41,947,136
  lm_head                 : 10,486,784
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 88,087,056
Estimated FLOPs per token: 2.768333e+08
Per-row WD: text=0.0, audio=3.0
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.927802 | lrm: 1.00 | dt: 5972ms | tok/sec: 43,897 | mfu: 1.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 10.053929 | lrm: 1.00 | dt: 847ms | tok/sec: 309,662 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.832185 | lrm: 1.00 | dt: 846ms | tok/sec: 309,772 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.485900 | lrm: 1.00 | dt: 846ms | tok/sec: 309,710 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.192751 | lrm: 1.00 | dt: 847ms | tok/sec: 309,586 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.924201 | lrm: 1.00 | dt: 847ms | tok/sec: 309,632 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.702710 | lrm: 1.00 | dt: 847ms | tok/sec: 309,585 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.470524 | lrm: 1.00 | dt: 849ms | tok/sec: 308,874 | mfu: 8.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.260264 | lrm: 1.00 | dt: 847ms | tok/sec: 309,375 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.043011 | lrm: 1.00 | dt: 849ms | tok/sec: 308,796 | mfu: 8.6% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.887702 | lrm: 1.00 | dt: 849ms | tok/sec: 308,894 | mfu: 8.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.718433 | lrm: 1.00 | dt: 847ms | tok/sec: 309,519 | mfu: 8.7% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 7.577451 | lrm: 1.00 | dt: 848ms | tok/sec: 309,296 | mfu: 8.7% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 7.455400 | lrm: 1.00 | dt: 849ms | tok/sec: 308,639 | mfu: 8.6% | epoch: 1 | remaining: 297s    
step 00014 (0.8%) | loss: 7.352727 | lrm: 1.00 | dt: 848ms | tok/sec: 309,037 | mfu: 8.6% | epoch: 1 | remaining: 297s    
step 00015 (1.1%) | loss: 7.250264 | lrm: 1.00 | dt: 848ms | tok/sec: 309,093 | mfu: 8.6% | epoch: 1 | remaining: 296s    
step 00016 (1.4%) | loss: 7.155010 | lrm: 1.00 | dt: 848ms | tok/sec: 309,241 | mfu: 8.7% | epoch: 1 | remaining: 295s    
step 00017 (1.7%) | loss: 7.070998 | lrm: 1.00 | dt: 848ms | tok/sec: 309,055 | mfu: 8.6% | epoch: 1 | remaining: 294s    
step 00018 (2.0%) | loss: 7.002049 | lrm: 1.00 | dt: 848ms | tok/sec: 309,007 | mfu: 8.6% | epoch: 1 | remaining: 293s    
step 00019 (2.3%) | loss: 6.936833 | lrm: 1.00 | dt: 848ms | tok/sec: 309,162 | mfu: 8.6% | epoch: 1 | remaining: 292s    
step 00020 (2.5%) | loss: 6.877355 | lrm: 1.00 | dt: 848ms | tok/sec: 308,976 | mfu: 8.6% | epoch: 1 | remaining: 292s    
step 00021 (2.8%) | loss: 6.815717 | lrm: 1.00 | dt: 849ms | tok/sec: 308,903 | mfu: 8.6% | epoch: 1 | remaining: 291s    
step 00022 (3.1%) | loss: 6.768600 | lrm: 1.00 | dt: 850ms | tok/sec: 308,532 | mfu: 8.6% | epoch: 1 | remaining: 290s    
step 00023 (3.4%) | loss: 6.715431 | lrm: 1.00 | dt: 848ms | tok/sec: 308,980 | mfu: 8.6% | epoch: 1 | remaining: 289s    
step 00024 (3.7%) | loss: 6.688239 | lrm: 1.00 | dt: 848ms | tok/sec: 309,096 | mfu: 8.6% | epoch: 1 | remaining: 288s    
step 00025 (4.0%) | loss: 6.645099 | lrm: 1.00 | dt: 849ms | tok/sec: 308,834 | mfu: 8.6% | epoch: 1 | remaining: 287s    
step 00026 (4.2%) | loss: 6.610805 | lrm: 1.00 | dt: 848ms | tok/sec: 308,978 | mfu: 8.6% | epoch: 1 | remaining: 286s    
step 00027 (4.5%) | loss: 6.598955 | lrm: 1.00 | dt: 849ms | tok/sec: 308,788 | mfu: 8.6% | epoch: 1 | remaining: 286s    
step 00028 (4.8%) | loss: 6.555439 | lrm: 1.00 | dt: 849ms | tok/sec: 308,851 | mfu: 8.6% | epoch: 1 | remaining: 285s    
step 00029 (5.1%) | loss: 6.517379 | lrm: 1.00 | dt: 849ms | tok/sec: 308,764 | mfu: 8.6% | epoch: 1 | remaining: 284s    
step 00030 (5.4%) | loss: 6.487400 | lrm: 1.00 | dt: 851ms | tok/sec: 307,994 | mfu: 8.6% | epoch: 1 | remaining: 283s    
step 00031 (5.7%) | loss: 6.453263 | lrm: 1.00 | dt: 849ms | tok/sec: 308,692 | mfu: 8.6% | epoch: 1 | remaining: 282s    
step 00032 (5.9%) | loss: 6.422807 | lrm: 1.00 | dt: 849ms | tok/sec: 308,697 | mfu: 8.6% | epoch: 1 | remaining: 281s    
step 00033 (6.2%) | loss: 6.401609 | lrm: 1.00 | dt: 849ms | tok/sec: 308,694 | mfu: 8.6% | epoch: 1 | remaining: 280s    
step 00034 (6.5%) | loss: 6.378489 | lrm: 1.00 | dt: 849ms | tok/sec: 308,686 | mfu: 8.6% | epoch: 1 | remaining: 280s    
step 00035 (6.8%) | loss: 6.349156 | lrm: 1.00 | dt: 849ms | tok/sec: 308,752 | mfu: 8.6% | epoch: 1 | remaining: 279s    
step 00036 (7.1%) | loss: 6.330947 | lrm: 1.00 | dt: 849ms | tok/sec: 308,601 | mfu: 8.6% | epoch: 1 | remaining: 278s    
step 00037 (7.4%) | loss: 6.306869 | lrm: 1.00 | dt: 849ms | tok/sec: 308,700 | mfu: 8.6% | epoch: 1 | remaining: 277s    
step 00038 (7.6%) | loss: 6.277620 | lrm: 1.00 | dt: 850ms | tok/sec: 308,288 | mfu: 8.6% | epoch: 1 | remaining: 276s    
step 00039 (7.9%) | loss: 6.245721 | lrm: 1.00 | dt: 849ms | tok/sec: 308,649 | mfu: 8.6% | epoch: 1 | remaining: 275s    
step 00040 (8.2%) | loss: 6.220229 | lrm: 1.00 | dt: 849ms | tok/sec: 308,717 | mfu: 8.6% | epoch: 1 | remaining: 275s    
step 00041 (8.5%) | loss: 6.198267 | lrm: 1.00 | dt: 849ms | tok/sec: 308,677 | mfu: 8.6% | epoch: 1 | remaining: 274s    
step 00042 (8.8%) | loss: 6.181147 | lrm: 1.00 | dt: 849ms | tok/sec: 308,721 | mfu: 8.6% | epoch: 1 | remaining: 273s    
step 00043 (9.1%) | loss: 6.151432 | lrm: 1.00 | dt: 849ms | tok/sec: 308,602 | mfu: 8.6% | epoch: 1 | remaining: 272s    
step 00044 (9.3%) | loss: 6.138060 | lrm: 1.00 | dt: 849ms | tok/sec: 308,621 | mfu: 8.6% | epoch: 1 | remaining: 271s    
step 00045 (9.6%) | loss: 6.117843 | lrm: 1.00 | dt: 850ms | tok/sec: 308,428 | mfu: 8.6% | epoch: 1 | remaining: 270s    
step 00046 (9.9%) | loss: 6.093982 | lrm: 1.00 | dt: 849ms | tok/sec: 308,610 | mfu: 8.6% | epoch: 1 | remaining: 269s    
step 00047 (10.2%) | loss: 6.068099 | lrm: 1.00 | dt: 850ms | tok/sec: 308,381 | mfu: 8.6% | epoch: 1 | remaining: 269s    
step 00048 (10.5%) | loss: 6.049626 | lrm: 1.00 | dt: 849ms | tok/sec: 308,674 | mfu: 8.6% | epoch: 1 | remaining: 268s    
step 00049 (10.8%) | loss: 6.031266 | lrm: 1.00 | dt: 850ms | tok/sec: 308,585 | mfu: 8.6% | epoch: 1 | remaining: 267s    
step 00050 (11.0%) | loss: 6.005330 | lrm: 1.00 | dt: 849ms | tok/sec: 308,606 | mfu: 8.6% | epoch: 1 | remaining: 266s    
step 00051 (11.3%) | loss: 5.989421 | lrm: 1.00 | dt: 849ms | tok/sec: 308,656 | mfu: 8.6% | epoch: 1 | remaining: 265s    
step 00052 (11.6%) | loss: 5.975107 | lrm: 1.00 | dt: 850ms | tok/sec: 308,555 | mfu: 8.6% | epoch: 1 | remaining: 264s    
step 00053 (11.9%) | loss: 5.948505 | lrm: 1.00 | dt: 850ms | tok/sec: 308,456 | mfu: 8.6% | epoch: 1 | remaining: 263s    
step 00054 (12.2%) | loss: 5.927634 | lrm: 1.00 | dt: 851ms | tok/sec: 308,091 | mfu: 8.6% | epoch: 1 | remaining: 263s    
step 00055 (12.5%) | loss: 5.905211 | lrm: 1.00 | dt: 850ms | tok/sec: 308,521 | mfu: 8.6% | epoch: 1 | remaining: 262s    
step 00056 (12.7%) | loss: 5.896733 | lrm: 1.00 | dt: 849ms | tok/sec: 308,592 | mfu: 8.6% | epoch: 1 | remaining: 261s    
step 00057 (13.0%) | loss: 5.896566 | lrm: 1.00 | dt: 850ms | tok/sec: 308,531 | mfu: 8.6% | epoch: 1 | remaining: 260s    
step 00058 (13.3%) | loss: 5.929688 | lrm: 1.00 | dt: 849ms | tok/sec: 308,684 | mfu: 8.6% | epoch: 1 | remaining: 259s    
step 00059 (13.6%) | loss: 5.919995 | lrm: 1.00 | dt: 850ms | tok/sec: 308,510 | mfu: 8.6% | epoch: 1 | remaining: 258s    
step 00060 (13.9%) | loss: 5.906381 | lrm: 1.00 | dt: 850ms | tok/sec: 308,439 | mfu: 8.6% | epoch: 1 | remaining: 258s    
step 00061 (14.2%) | loss: 5.908501 | lrm: 1.00 | dt: 850ms | tok/sec: 308,369 | mfu: 8.6% | epoch: 1 | remaining: 257s    
step 00062 (14.4%) | loss: 5.889967 | lrm: 1.00 | dt: 850ms | tok/sec: 308,495 | mfu: 8.6% | epoch: 1 | remaining: 256s    
step 00063 (14.7%) | loss: 5.887462 | lrm: 1.00 | dt: 850ms | tok/sec: 308,453 | mfu: 8.6% | epoch: 1 | remaining: 255s    
step 00064 (15.0%) | loss: 5.871814 | lrm: 1.00 | dt: 850ms | tok/sec: 308,570 | mfu: 8.6% | epoch: 1 | remaining: 254s    
step 00065 (15.3%) | loss: 5.862143 | lrm: 1.00 | dt: 850ms | tok/sec: 308,484 | mfu: 8.6% | epoch: 1 | remaining: 253s    
step 00066 (15.6%) | loss: 5.844037 | lrm: 1.00 | dt: 850ms | tok/sec: 308,282 | mfu: 8.6% | epoch: 1 | remaining: 252s    
step 00067 (15.9%) | loss: 5.839979 | lrm: 1.00 | dt: 851ms | tok/sec: 307,924 | mfu: 8.6% | epoch: 1 | remaining: 252s    
step 00068 (16.1%) | loss: 5.857071 | lrm: 1.00 | dt: 850ms | tok/sec: 308,245 | mfu: 8.6% | epoch: 1 | remaining: 251s    
step 00069 (16.4%) | loss: 5.848034 | lrm: 1.00 | dt: 850ms | tok/sec: 308,518 | mfu: 8.6% | epoch: 1 | remaining: 250s    
step 00070 (16.7%) | loss: 5.838124 | lrm: 1.00 | dt: 850ms | tok/sec: 308,295 | mfu: 8.6% | epoch: 1 | remaining: 249s    
step 00071 (17.0%) | loss: 5.817783 | lrm: 1.00 | dt: 850ms | tok/sec: 308,556 | mfu: 8.6% | epoch: 1 | remaining: 248s    
step 00072 (17.3%) | loss: 5.795950 | lrm: 1.00 | dt: 850ms | tok/sec: 308,478 | mfu: 8.6% | epoch: 1 | remaining: 247s    
step 00073 (17.6%) | loss: 5.784299 | lrm: 1.00 | dt: 850ms | tok/sec: 308,348 | mfu: 8.6% | epoch: 1 | remaining: 246s    
step 00074 (17.8%) | loss: 5.783801 | lrm: 1.00 | dt: 849ms | tok/sec: 308,596 | mfu: 8.6% | epoch: 1 | remaining: 246s    
step 00075 (18.1%) | loss: 5.771973 | lrm: 1.00 | dt: 850ms | tok/sec: 308,476 | mfu: 8.6% | epoch: 1 | remaining: 245s    
step 00076 (18.4%) | loss: 5.756726 | lrm: 1.00 | dt: 849ms | tok/sec: 308,663 | mfu: 8.6% | epoch: 1 | remaining: 244s    
step 00077 (18.7%) | loss: 5.742639 | lrm: 1.00 | dt: 850ms | tok/sec: 308,259 | mfu: 8.6% | epoch: 1 | remaining: 243s    
step 00078 (19.0%) | loss: 5.724169 | lrm: 1.00 | dt: 849ms | tok/sec: 308,632 | mfu: 8.6% | epoch: 1 | remaining: 242s    
step 00079 (19.3%) | loss: 5.704814 | lrm: 1.00 | dt: 850ms | tok/sec: 308,473 | mfu: 8.6% | epoch: 1 | remaining: 241s    
step 00080 (19.5%) | loss: 5.688327 | lrm: 1.00 | dt: 851ms | tok/sec: 308,127 | mfu: 8.6% | epoch: 1 | remaining: 241s    
step 00081 (19.8%) | loss: 5.676449 | lrm: 1.00 | dt: 851ms | tok/sec: 307,999 | mfu: 8.6% | epoch: 1 | remaining: 240s    
step 00082 (20.1%) | loss: 5.664163 | lrm: 1.00 | dt: 850ms | tok/sec: 308,229 | mfu: 8.6% | epoch: 1 | remaining: 239s    
step 00083 (20.4%) | loss: 5.644544 | lrm: 1.00 | dt: 850ms | tok/sec: 308,388 | mfu: 8.6% | epoch: 1 | remaining: 238s    
step 00084 (20.7%) | loss: 5.629756 | lrm: 1.00 | dt: 851ms | tok/sec: 308,158 | mfu: 8.6% | epoch: 1 | remaining: 237s    
step 00085 (21.0%) | loss: 5.616741 | lrm: 1.00 | dt: 852ms | tok/sec: 307,845 | mfu: 8.6% | epoch: 1 | remaining: 236s    
step 00086 (21.2%) | loss: 5.608541 | lrm: 1.00 | dt: 850ms | tok/sec: 308,562 | mfu: 8.6% | epoch: 1 | remaining: 235s    
step 00087 (21.5%) | loss: 5.595206 | lrm: 1.00 | dt: 850ms | tok/sec: 308,363 | mfu: 8.6% | epoch: 1 | remaining: 235s    
step 00088 (21.8%) | loss: 5.578714 | lrm: 1.00 | dt: 850ms | tok/sec: 308,272 | mfu: 8.6% | epoch: 1 | remaining: 234s    
step 00089 (22.1%) | loss: 5.562770 | lrm: 1.00 | dt: 850ms | tok/sec: 308,314 | mfu: 8.6% | epoch: 1 | remaining: 233s    
step 00090 (22.4%) | loss: 5.545172 | lrm: 1.00 | dt: 850ms | tok/sec: 308,429 | mfu: 8.6% | epoch: 1 | remaining: 232s    
step 00091 (22.7%) | loss: 5.522503 | lrm: 1.00 | dt: 850ms | tok/sec: 308,365 | mfu: 8.6% | epoch: 1 | remaining: 231s    
step 00092 (22.9%) | loss: 5.505700 | lrm: 1.00 | dt: 850ms | tok/sec: 308,407 | mfu: 8.6% | epoch: 1 | remaining: 230s    
step 00093 (23.2%) | loss: 5.487827 | lrm: 1.00 | dt: 850ms | tok/sec: 308,326 | mfu: 8.6% | epoch: 1 | remaining: 229s    
step 00094 (23.5%) | loss: 5.477513 | lrm: 1.00 | dt: 850ms | tok/sec: 308,455 | mfu: 8.6% | epoch: 1 | remaining: 229s    
step 00095 (23.8%) | loss: 5.462883 | lrm: 1.00 | dt: 851ms | tok/sec: 308,197 | mfu: 8.6% | epoch: 1 | remaining: 228s    
step 00096 (24.1%) | loss: 5.444284 | lrm: 1.00 | dt: 850ms | tok/sec: 308,254 | mfu: 8.6% | epoch: 1 | remaining: 227s    
