[autoresearch/mar9 9b760a7] exp59: per-row WD text=0.0 audio=2.0 all embeds
 1 file changed, 1 insertion(+), 1 deletion(-)
Vocab size: 20,482
Model config: {'sequence_len': 2048, 'vocab_size': 20482, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 10,486,784
  value_embeds            : 41,947,136
  lm_head                 : 10,486,784
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 88,087,056
Estimated FLOPs per token: 2.768333e+08
Per-row WD: text=0.0, audio=2.0
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.927828 | lrm: 1.00 | dt: 6523ms | tok/sec: 40,186 | mfu: 1.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 10.055244 | lrm: 1.00 | dt: 846ms | tok/sec: 309,970 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.835862 | lrm: 1.00 | dt: 846ms | tok/sec: 309,961 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.499878 | lrm: 1.00 | dt: 847ms | tok/sec: 309,584 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.193540 | lrm: 1.00 | dt: 846ms | tok/sec: 309,764 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.968500 | lrm: 1.00 | dt: 846ms | tok/sec: 309,841 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.732273 | lrm: 1.00 | dt: 847ms | tok/sec: 309,667 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.466534 | lrm: 1.00 | dt: 847ms | tok/sec: 309,375 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.233587 | lrm: 1.00 | dt: 846ms | tok/sec: 309,714 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.004270 | lrm: 1.00 | dt: 847ms | tok/sec: 309,613 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.829152 | lrm: 1.00 | dt: 848ms | tok/sec: 309,152 | mfu: 8.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.652037 | lrm: 1.00 | dt: 847ms | tok/sec: 309,369 | mfu: 8.7% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 7.498012 | lrm: 1.00 | dt: 847ms | tok/sec: 309,529 | mfu: 8.7% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 7.374885 | lrm: 1.00 | dt: 849ms | tok/sec: 308,939 | mfu: 8.6% | epoch: 1 | remaining: 297s    
step 00014 (0.8%) | loss: 7.259292 | lrm: 1.00 | dt: 847ms | tok/sec: 309,437 | mfu: 8.7% | epoch: 1 | remaining: 297s    
step 00015 (1.1%) | loss: 7.149437 | lrm: 1.00 | dt: 847ms | tok/sec: 309,489 | mfu: 8.7% | epoch: 1 | remaining: 296s    
step 00016 (1.4%) | loss: 7.046840 | lrm: 1.00 | dt: 847ms | tok/sec: 309,495 | mfu: 8.7% | epoch: 1 | remaining: 295s    
step 00017 (1.7%) | loss: 6.944836 | lrm: 1.00 | dt: 847ms | tok/sec: 309,507 | mfu: 8.7% | epoch: 1 | remaining: 294s    
step 00018 (2.0%) | loss: 6.872966 | lrm: 1.00 | dt: 847ms | tok/sec: 309,326 | mfu: 8.7% | epoch: 1 | remaining: 293s    
step 00019 (2.3%) | loss: 6.806900 | lrm: 1.00 | dt: 847ms | tok/sec: 309,448 | mfu: 8.7% | epoch: 1 | remaining: 292s    
step 00020 (2.5%) | loss: 6.744281 | lrm: 1.00 | dt: 847ms | tok/sec: 309,507 | mfu: 8.7% | epoch: 1 | remaining: 292s    
step 00021 (2.8%) | loss: 6.676995 | lrm: 1.00 | dt: 847ms | tok/sec: 309,386 | mfu: 8.7% | epoch: 1 | remaining: 291s    
step 00022 (3.1%) | loss: 6.618678 | lrm: 1.00 | dt: 849ms | tok/sec: 308,762 | mfu: 8.6% | epoch: 1 | remaining: 290s    
step 00023 (3.4%) | loss: 6.562957 | lrm: 1.00 | dt: 848ms | tok/sec: 309,271 | mfu: 8.7% | epoch: 1 | remaining: 289s    
step 00024 (3.7%) | loss: 6.514912 | lrm: 1.00 | dt: 848ms | tok/sec: 309,034 | mfu: 8.6% | epoch: 1 | remaining: 288s    
step 00025 (4.0%) | loss: 6.473141 | lrm: 1.00 | dt: 848ms | tok/sec: 309,057 | mfu: 8.6% | epoch: 1 | remaining: 287s    
step 00026 (4.2%) | loss: 6.441483 | lrm: 1.00 | dt: 848ms | tok/sec: 309,054 | mfu: 8.6% | epoch: 1 | remaining: 286s    
step 00027 (4.5%) | loss: 6.407690 | lrm: 1.00 | dt: 849ms | tok/sec: 308,925 | mfu: 8.6% | epoch: 1 | remaining: 286s    
step 00028 (4.8%) | loss: 6.367367 | lrm: 1.00 | dt: 848ms | tok/sec: 309,058 | mfu: 8.6% | epoch: 1 | remaining: 285s    
step 00029 (5.1%) | loss: 6.325413 | lrm: 1.00 | dt: 849ms | tok/sec: 308,901 | mfu: 8.6% | epoch: 1 | remaining: 284s    
step 00030 (5.4%) | loss: 6.293453 | lrm: 1.00 | dt: 851ms | tok/sec: 308,168 | mfu: 8.6% | epoch: 1 | remaining: 283s    
step 00031 (5.7%) | loss: 6.258924 | lrm: 1.00 | dt: 849ms | tok/sec: 308,882 | mfu: 8.6% | epoch: 1 | remaining: 282s    
step 00032 (5.9%) | loss: 6.224253 | lrm: 1.00 | dt: 849ms | tok/sec: 308,730 | mfu: 8.6% | epoch: 1 | remaining: 281s    
step 00033 (6.2%) | loss: 6.195532 | lrm: 1.00 | dt: 848ms | tok/sec: 309,072 | mfu: 8.6% | epoch: 1 | remaining: 280s    
step 00034 (6.5%) | loss: 6.172986 | lrm: 1.00 | dt: 849ms | tok/sec: 308,820 | mfu: 8.6% | epoch: 1 | remaining: 280s    
step 00035 (6.8%) | loss: 6.140136 | lrm: 1.00 | dt: 849ms | tok/sec: 308,947 | mfu: 8.6% | epoch: 1 | remaining: 279s    
step 00036 (7.1%) | loss: 6.103582 | lrm: 1.00 | dt: 849ms | tok/sec: 308,799 | mfu: 8.6% | epoch: 1 | remaining: 278s    
step 00037 (7.3%) | loss: 6.084846 | lrm: 1.00 | dt: 849ms | tok/sec: 308,817 | mfu: 8.6% | epoch: 1 | remaining: 277s    
