[autoresearch/mar9 50760fa] exp61: dropout=0.0 with per-row WD
 1 file changed, 1 insertion(+), 1 deletion(-)
Vocab size: 20,482
Model config: {'sequence_len': 2048, 'vocab_size': 20482, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 10,486,784
  value_embeds            : 41,947,136
  lm_head                 : 10,486,784
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 88,087,056
Estimated FLOPs per token: 2.768333e+08
Per-row WD: text=0.0, audio=2.5
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.927778 | lrm: 1.00 | dt: 7413ms | tok/sec: 35,363 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 10.054619 | lrm: 1.00 | dt: 841ms | tok/sec: 311,815 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.834890 | lrm: 1.00 | dt: 841ms | tok/sec: 311,596 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.483795 | lrm: 1.00 | dt: 841ms | tok/sec: 311,716 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.178776 | lrm: 1.00 | dt: 841ms | tok/sec: 311,665 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.928908 | lrm: 1.00 | dt: 841ms | tok/sec: 311,735 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.730497 | lrm: 1.00 | dt: 841ms | tok/sec: 311,676 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.475773 | lrm: 1.00 | dt: 843ms | tok/sec: 311,149 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.269284 | lrm: 1.00 | dt: 843ms | tok/sec: 311,101 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.042116 | lrm: 1.00 | dt: 842ms | tok/sec: 311,403 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.872862 | lrm: 1.00 | dt: 846ms | tok/sec: 309,710 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.696494 | lrm: 1.00 | dt: 841ms | tok/sec: 311,537 | mfu: 8.7% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 7.545173 | lrm: 1.00 | dt: 842ms | tok/sec: 311,404 | mfu: 8.7% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 7.416728 | lrm: 1.00 | dt: 843ms | tok/sec: 310,809 | mfu: 8.7% | epoch: 1 | remaining: 297s    
step 00014 (0.8%) | loss: 7.309294 | lrm: 1.00 | dt: 843ms | tok/sec: 310,911 | mfu: 8.7% | epoch: 1 | remaining: 297s    
step 00015 (1.1%) | loss: 7.203358 | lrm: 1.00 | dt: 843ms | tok/sec: 311,042 | mfu: 8.7% | epoch: 1 | remaining: 296s    
step 00016 (1.4%) | loss: 7.103018 | lrm: 1.00 | dt: 843ms | tok/sec: 311,018 | mfu: 8.7% | epoch: 1 | remaining: 295s    
step 00017 (1.7%) | loss: 7.010282 | lrm: 1.00 | dt: 843ms | tok/sec: 311,047 | mfu: 8.7% | epoch: 1 | remaining: 294s    
step 00018 (2.0%) | loss: 6.936729 | lrm: 1.00 | dt: 843ms | tok/sec: 311,012 | mfu: 8.7% | epoch: 1 | remaining: 293s    
step 00019 (2.2%) | loss: 6.872060 | lrm: 1.00 | dt: 843ms | tok/sec: 310,978 | mfu: 8.7% | epoch: 1 | remaining: 292s    
step 00020 (2.5%) | loss: 6.807509 | lrm: 1.00 | dt: 843ms | tok/sec: 310,853 | mfu: 8.7% | epoch: 1 | remaining: 292s    
step 00021 (2.8%) | loss: 6.735614 | lrm: 1.00 | dt: 843ms | tok/sec: 310,863 | mfu: 8.7% | epoch: 1 | remaining: 291s    
step 00022 (3.1%) | loss: 6.677919 | lrm: 1.00 | dt: 844ms | tok/sec: 310,603 | mfu: 8.7% | epoch: 1 | remaining: 290s    
step 00023 (3.4%) | loss: 6.626212 | lrm: 1.00 | dt: 843ms | tok/sec: 310,877 | mfu: 8.7% | epoch: 1 | remaining: 289s    
step 00024 (3.7%) | loss: 6.579125 | lrm: 1.00 | dt: 843ms | tok/sec: 310,910 | mfu: 8.7% | epoch: 1 | remaining: 288s    
step 00025 (3.9%) | loss: 6.534433 | lrm: 1.00 | dt: 843ms | tok/sec: 310,807 | mfu: 8.7% | epoch: 1 | remaining: 287s    
step 00026 (4.2%) | loss: 6.499548 | lrm: 1.00 | dt: 843ms | tok/sec: 310,825 | mfu: 8.7% | epoch: 1 | remaining: 287s    
step 00027 (4.5%) | loss: 6.463737 | lrm: 1.00 | dt: 844ms | tok/sec: 310,776 | mfu: 8.7% | epoch: 1 | remaining: 286s    
step 00028 (4.8%) | loss: 6.416222 | lrm: 1.00 | dt: 843ms | tok/sec: 310,810 | mfu: 8.7% | epoch: 1 | remaining: 285s    
step 00029 (5.1%) | loss: 6.369860 | lrm: 1.00 | dt: 844ms | tok/sec: 310,604 | mfu: 8.7% | epoch: 1 | remaining: 284s    
step 00030 (5.3%) | loss: 6.332627 | lrm: 1.00 | dt: 846ms | tok/sec: 310,007 | mfu: 8.7% | epoch: 1 | remaining: 283s    
step 00031 (5.6%) | loss: 6.295830 | lrm: 1.00 | dt: 844ms | tok/sec: 310,618 | mfu: 8.7% | epoch: 1 | remaining: 282s    
step 00032 (5.9%) | loss: 6.263714 | lrm: 1.00 | dt: 844ms | tok/sec: 310,464 | mfu: 8.7% | epoch: 1 | remaining: 281s    
step 00033 (6.2%) | loss: 6.243378 | lrm: 1.00 | dt: 844ms | tok/sec: 310,504 | mfu: 8.7% | epoch: 1 | remaining: 281s    
step 00034 (6.5%) | loss: 6.222921 | lrm: 1.00 | dt: 844ms | tok/sec: 310,746 | mfu: 8.7% | epoch: 1 | remaining: 280s    
step 00035 (6.7%) | loss: 6.193247 | lrm: 1.00 | dt: 844ms | tok/sec: 310,516 | mfu: 8.7% | epoch: 1 | remaining: 279s    
step 00036 (7.0%) | loss: 6.160023 | lrm: 1.00 | dt: 845ms | tok/sec: 310,361 | mfu: 8.7% | epoch: 1 | remaining: 278s    
step 00037 (7.3%) | loss: 6.135070 | lrm: 1.00 | dt: 844ms | tok/sec: 310,549 | mfu: 8.7% | epoch: 1 | remaining: 277s    
