[autoresearch/mar9 0b57fd4] exp51: per-row WD text=0.2 audio=3.0
 1 file changed, 1 insertion(+), 1 deletion(-)
Vocab size: 20,482
Model config: {'sequence_len': 2048, 'vocab_size': 20482, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 10,486,784
  value_embeds            : 41,947,136
  lm_head                 : 10,486,784
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 88,087,056
Estimated FLOPs per token: 2.768333e+08
Per-row WD: text=0.2, audio=3.0
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.927773 | lrm: 1.00 | dt: 6490ms | tok/sec: 40,389 | mfu: 1.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 10.048662 | lrm: 1.00 | dt: 846ms | tok/sec: 309,924 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.862066 | lrm: 1.00 | dt: 846ms | tok/sec: 309,902 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.512072 | lrm: 1.00 | dt: 846ms | tok/sec: 309,847 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.202790 | lrm: 1.00 | dt: 846ms | tok/sec: 309,696 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.903806 | lrm: 1.00 | dt: 847ms | tok/sec: 309,675 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.641187 | lrm: 1.00 | dt: 846ms | tok/sec: 309,729 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.421152 | lrm: 1.00 | dt: 847ms | tok/sec: 309,584 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.201798 | lrm: 1.00 | dt: 847ms | tok/sec: 309,476 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.981165 | lrm: 1.00 | dt: 847ms | tok/sec: 309,512 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.821669 | lrm: 1.00 | dt: 849ms | tok/sec: 308,805 | mfu: 8.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.648492 | lrm: 1.00 | dt: 847ms | tok/sec: 309,475 | mfu: 8.7% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 7.507106 | lrm: 1.00 | dt: 847ms | tok/sec: 309,417 | mfu: 8.7% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 7.385890 | lrm: 1.00 | dt: 848ms | tok/sec: 308,981 | mfu: 8.6% | epoch: 1 | remaining: 297s    
step 00014 (0.8%) | loss: 7.285299 | lrm: 1.00 | dt: 847ms | tok/sec: 309,439 | mfu: 8.7% | epoch: 1 | remaining: 297s    
step 00015 (1.1%) | loss: 7.190059 | lrm: 1.00 | dt: 847ms | tok/sec: 309,391 | mfu: 8.7% | epoch: 1 | remaining: 296s    
step 00016 (1.4%) | loss: 7.106061 | lrm: 1.00 | dt: 848ms | tok/sec: 309,249 | mfu: 8.7% | epoch: 1 | remaining: 295s    
step 00017 (1.7%) | loss: 7.019691 | lrm: 1.00 | dt: 847ms | tok/sec: 309,366 | mfu: 8.7% | epoch: 1 | remaining: 294s    
step 00018 (2.0%) | loss: 6.959523 | lrm: 1.00 | dt: 848ms | tok/sec: 308,980 | mfu: 8.6% | epoch: 1 | remaining: 293s    
step 00019 (2.3%) | loss: 6.897101 | lrm: 1.00 | dt: 848ms | tok/sec: 309,086 | mfu: 8.6% | epoch: 1 | remaining: 292s    
step 00020 (2.5%) | loss: 6.847144 | lrm: 1.00 | dt: 848ms | tok/sec: 309,000 | mfu: 8.6% | epoch: 1 | remaining: 292s    
step 00021 (2.8%) | loss: 6.787002 | lrm: 1.00 | dt: 848ms | tok/sec: 309,102 | mfu: 8.6% | epoch: 1 | remaining: 291s    
step 00022 (3.1%) | loss: 6.744224 | lrm: 1.00 | dt: 848ms | tok/sec: 309,040 | mfu: 8.6% | epoch: 1 | remaining: 290s    
step 00023 (3.4%) | loss: 6.701932 | lrm: 1.00 | dt: 848ms | tok/sec: 309,016 | mfu: 8.6% | epoch: 1 | remaining: 289s    
step 00024 (3.7%) | loss: 6.670192 | lrm: 1.00 | dt: 849ms | tok/sec: 308,934 | mfu: 8.6% | epoch: 1 | remaining: 288s    
step 00025 (4.0%) | loss: 6.635458 | lrm: 1.00 | dt: 849ms | tok/sec: 308,936 | mfu: 8.6% | epoch: 1 | remaining: 287s    
step 00026 (4.2%) | loss: 6.611421 | lrm: 1.00 | dt: 849ms | tok/sec: 308,913 | mfu: 8.6% | epoch: 1 | remaining: 286s    
step 00027 (4.5%) | loss: 6.583622 | lrm: 1.00 | dt: 849ms | tok/sec: 308,818 | mfu: 8.6% | epoch: 1 | remaining: 286s    
step 00028 (4.8%) | loss: 6.544410 | lrm: 1.00 | dt: 849ms | tok/sec: 308,762 | mfu: 8.6% | epoch: 1 | remaining: 285s    
step 00029 (5.1%) | loss: 6.509223 | lrm: 1.00 | dt: 849ms | tok/sec: 308,591 | mfu: 8.6% | epoch: 1 | remaining: 284s    
step 00030 (5.4%) | loss: 6.482249 | lrm: 1.00 | dt: 849ms | tok/sec: 308,699 | mfu: 8.6% | epoch: 1 | remaining: 283s    
step 00031 (5.7%) | loss: 6.447989 | lrm: 1.00 | dt: 849ms | tok/sec: 308,808 | mfu: 8.6% | epoch: 1 | remaining: 282s    
step 00032 (5.9%) | loss: 6.420068 | lrm: 1.00 | dt: 849ms | tok/sec: 308,770 | mfu: 8.6% | epoch: 1 | remaining: 281s    
step 00033 (6.2%) | loss: 6.406215 | lrm: 1.00 | dt: 849ms | tok/sec: 308,664 | mfu: 8.6% | epoch: 1 | remaining: 280s    
step 00034 (6.5%) | loss: 6.398542 | lrm: 1.00 | dt: 849ms | tok/sec: 308,781 | mfu: 8.6% | epoch: 1 | remaining: 280s    
step 00035 (6.8%) | loss: 6.374636 | lrm: 1.00 | dt: 849ms | tok/sec: 308,665 | mfu: 8.6% | epoch: 1 | remaining: 279s    
step 00036 (7.1%) | loss: 6.353789 | lrm: 1.00 | dt: 850ms | tok/sec: 308,578 | mfu: 8.6% | epoch: 1 | remaining: 278s    
step 00037 (7.4%) | loss: 6.342363 | lrm: 1.00 | dt: 850ms | tok/sec: 308,498 | mfu: 8.6% | epoch: 1 | remaining: 277s    
