Vocab size: 20,482
Model config: {'sequence_len': 2048, 'vocab_size': 20482, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 10,486,784
  value_embeds            : 41,947,136
  lm_head                 : 10,486,784
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 88,087,056
Estimated FLOPs per token: 2.768333e+08
Per-row WD: text=0.5, audio=4.0
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.927722 | lrm: 1.00 | dt: 8712ms | tok/sec: 30,089 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 10.038300 | lrm: 1.00 | dt: 844ms | tok/sec: 310,482 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.908337 | lrm: 1.00 | dt: 845ms | tok/sec: 310,331 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.545342 | lrm: 1.00 | dt: 847ms | tok/sec: 309,476 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.228444 | lrm: 1.00 | dt: 847ms | tok/sec: 309,628 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.913380 | lrm: 1.00 | dt: 847ms | tok/sec: 309,487 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.665561 | lrm: 1.00 | dt: 846ms | tok/sec: 309,873 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.430452 | lrm: 1.00 | dt: 846ms | tok/sec: 309,762 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.254224 | lrm: 1.00 | dt: 846ms | tok/sec: 309,748 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.069651 | lrm: 1.00 | dt: 846ms | tok/sec: 309,815 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.956119 | lrm: 1.00 | dt: 851ms | tok/sec: 307,953 | mfu: 8.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.788871 | lrm: 1.00 | dt: 847ms | tok/sec: 309,626 | mfu: 8.7% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 7.655446 | lrm: 1.00 | dt: 848ms | tok/sec: 309,295 | mfu: 8.7% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 7.528357 | lrm: 1.00 | dt: 850ms | tok/sec: 308,559 | mfu: 8.6% | epoch: 1 | remaining: 297s    
step 00014 (0.8%) | loss: 7.427571 | lrm: 1.00 | dt: 847ms | tok/sec: 309,678 | mfu: 8.7% | epoch: 1 | remaining: 297s    
step 00015 (1.1%) | loss: 7.328050 | lrm: 1.00 | dt: 846ms | tok/sec: 309,741 | mfu: 8.7% | epoch: 1 | remaining: 296s    
step 00016 (1.4%) | loss: 7.232403 | lrm: 1.00 | dt: 847ms | tok/sec: 309,658 | mfu: 8.7% | epoch: 1 | remaining: 295s    
step 00017 (1.7%) | loss: 7.144516 | lrm: 1.00 | dt: 847ms | tok/sec: 309,573 | mfu: 8.7% | epoch: 1 | remaining: 294s    
step 00018 (2.0%) | loss: 7.076497 | lrm: 1.00 | dt: 848ms | tok/sec: 309,140 | mfu: 8.6% | epoch: 1 | remaining: 293s    
step 00019 (2.3%) | loss: 7.015867 | lrm: 1.00 | dt: 847ms | tok/sec: 309,556 | mfu: 8.7% | epoch: 1 | remaining: 292s    
step 00020 (2.5%) | loss: 6.951088 | lrm: 1.00 | dt: 846ms | tok/sec: 309,811 | mfu: 8.7% | epoch: 1 | remaining: 292s    
step 00021 (2.8%) | loss: 6.890325 | lrm: 1.00 | dt: 847ms | tok/sec: 309,592 | mfu: 8.7% | epoch: 1 | remaining: 291s    
step 00022 (3.1%) | loss: 6.838199 | lrm: 1.00 | dt: 848ms | tok/sec: 309,069 | mfu: 8.6% | epoch: 1 | remaining: 290s    
step 00023 (3.4%) | loss: 6.791485 | lrm: 1.00 | dt: 847ms | tok/sec: 309,567 | mfu: 8.7% | epoch: 1 | remaining: 289s    
step 00024 (3.7%) | loss: 6.751359 | lrm: 1.00 | dt: 846ms | tok/sec: 309,680 | mfu: 8.7% | epoch: 1 | remaining: 288s    
step 00025 (4.0%) | loss: 6.714178 | lrm: 1.00 | dt: 847ms | tok/sec: 309,602 | mfu: 8.7% | epoch: 1 | remaining: 287s    
step 00026 (4.2%) | loss: 6.687260 | lrm: 1.00 | dt: 847ms | tok/sec: 309,393 | mfu: 8.7% | epoch: 1 | remaining: 286s    
step 00027 (4.5%) | loss: 6.662496 | lrm: 1.00 | dt: 847ms | tok/sec: 309,518 | mfu: 8.7% | epoch: 1 | remaining: 286s    
step 00028 (4.8%) | loss: 6.627755 | lrm: 1.00 | dt: 847ms | tok/sec: 309,460 | mfu: 8.7% | epoch: 1 | remaining: 285s    
step 00029 (5.1%) | loss: 6.598566 | lrm: 1.00 | dt: 847ms | tok/sec: 309,487 | mfu: 8.7% | epoch: 1 | remaining: 284s    
step 00030 (5.4%) | loss: 6.574837 | lrm: 1.00 | dt: 849ms | tok/sec: 308,894 | mfu: 8.6% | epoch: 1 | remaining: 283s    
step 00031 (5.6%) | loss: 6.547892 | lrm: 1.00 | dt: 847ms | tok/sec: 309,453 | mfu: 8.7% | epoch: 1 | remaining: 282s    
step 00032 (5.9%) | loss: 6.524344 | lrm: 1.00 | dt: 849ms | tok/sec: 308,919 | mfu: 8.6% | epoch: 1 | remaining: 281s    
