[autoresearch/mar9 11f7b69] exp49: per-row WD wte only — text=1.0 audio=3.0
 1 file changed, 4 insertions(+), 5 deletions(-)
Vocab size: 20,482
Model config: {'sequence_len': 2048, 'vocab_size': 20482, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 10,486,784
  value_embeds            : 41,947,136
  lm_head                 : 10,486,784
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 88,087,056
Estimated FLOPs per token: 2.768333e+08
Per-row WD: text=1.0, audio=3.0
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.927851 | lrm: 1.00 | dt: 6133ms | tok/sec: 42,741 | mfu: 1.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 10.000078 | lrm: 1.00 | dt: 844ms | tok/sec: 310,456 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.945624 | lrm: 1.00 | dt: 845ms | tok/sec: 310,401 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.664186 | lrm: 1.00 | dt: 845ms | tok/sec: 310,168 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.338474 | lrm: 1.00 | dt: 846ms | tok/sec: 310,004 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.986086 | lrm: 1.00 | dt: 846ms | tok/sec: 309,955 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.685368 | lrm: 1.00 | dt: 846ms | tok/sec: 309,851 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.439262 | lrm: 1.00 | dt: 848ms | tok/sec: 309,116 | mfu: 8.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.262909 | lrm: 1.00 | dt: 846ms | tok/sec: 309,770 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.067253 | lrm: 1.00 | dt: 847ms | tok/sec: 309,633 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.919777 | lrm: 1.00 | dt: 848ms | tok/sec: 309,165 | mfu: 8.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.753607 | lrm: 1.00 | dt: 846ms | tok/sec: 309,808 | mfu: 8.7% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 7.619996 | lrm: 1.00 | dt: 846ms | tok/sec: 309,689 | mfu: 8.7% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 7.509921 | lrm: 1.00 | dt: 848ms | tok/sec: 308,994 | mfu: 8.6% | epoch: 1 | remaining: 297s    
step 00014 (0.8%) | loss: 7.414898 | lrm: 1.00 | dt: 847ms | tok/sec: 309,556 | mfu: 8.7% | epoch: 1 | remaining: 297s    
step 00015 (1.1%) | loss: 7.317753 | lrm: 1.00 | dt: 847ms | tok/sec: 309,656 | mfu: 8.7% | epoch: 1 | remaining: 296s    
step 00016 (1.4%) | loss: 7.224024 | lrm: 1.00 | dt: 846ms | tok/sec: 309,770 | mfu: 8.7% | epoch: 1 | remaining: 295s    
step 00017 (1.7%) | loss: 7.138378 | lrm: 1.00 | dt: 846ms | tok/sec: 309,693 | mfu: 8.7% | epoch: 1 | remaining: 294s    
step 00018 (2.0%) | loss: 7.071673 | lrm: 1.00 | dt: 847ms | tok/sec: 309,370 | mfu: 8.7% | epoch: 1 | remaining: 293s    
step 00019 (2.3%) | loss: 7.012174 | lrm: 1.00 | dt: 847ms | tok/sec: 309,543 | mfu: 8.7% | epoch: 1 | remaining: 292s    
step 00020 (2.5%) | loss: 6.950861 | lrm: 1.00 | dt: 847ms | tok/sec: 309,537 | mfu: 8.7% | epoch: 1 | remaining: 292s    
step 00021 (2.8%) | loss: 6.889790 | lrm: 1.00 | dt: 847ms | tok/sec: 309,469 | mfu: 8.7% | epoch: 1 | remaining: 291s    
step 00022 (3.1%) | loss: 6.850892 | lrm: 1.00 | dt: 848ms | tok/sec: 309,055 | mfu: 8.6% | epoch: 1 | remaining: 290s    
step 00023 (3.4%) | loss: 6.797484 | lrm: 1.00 | dt: 847ms | tok/sec: 309,615 | mfu: 8.7% | epoch: 1 | remaining: 289s    
step 00024 (3.7%) | loss: 6.771186 | lrm: 1.00 | dt: 847ms | tok/sec: 309,559 | mfu: 8.7% | epoch: 1 | remaining: 288s    
step 00025 (4.0%) | loss: 6.737522 | lrm: 1.00 | dt: 847ms | tok/sec: 309,421 | mfu: 8.7% | epoch: 1 | remaining: 287s    
step 00026 (4.2%) | loss: 6.711575 | lrm: 1.00 | dt: 848ms | tok/sec: 309,144 | mfu: 8.6% | epoch: 1 | remaining: 286s    
step 00027 (4.5%) | loss: 6.685134 | lrm: 1.00 | dt: 847ms | tok/sec: 309,478 | mfu: 8.7% | epoch: 1 | remaining: 286s    
step 00028 (4.8%) | loss: 6.651457 | lrm: 1.00 | dt: 847ms | tok/sec: 309,440 | mfu: 8.7% | epoch: 1 | remaining: 285s    
step 00029 (5.1%) | loss: 6.619132 | lrm: 1.00 | dt: 848ms | tok/sec: 309,232 | mfu: 8.7% | epoch: 1 | remaining: 284s    
step 00030 (5.4%) | loss: 6.598560 | lrm: 1.00 | dt: 849ms | tok/sec: 308,825 | mfu: 8.6% | epoch: 1 | remaining: 283s    
step 00031 (5.6%) | loss: 6.570596 | lrm: 1.00 | dt: 847ms | tok/sec: 309,540 | mfu: 8.7% | epoch: 1 | remaining: 282s    
step 00032 (5.9%) | loss: 6.543043 | lrm: 1.00 | dt: 848ms | tok/sec: 309,273 | mfu: 8.7% | epoch: 1 | remaining: 281s    
step 00033 (6.2%) | loss: 6.532251 | lrm: 1.00 | dt: 848ms | tok/sec: 309,080 | mfu: 8.6% | epoch: 1 | remaining: 281s    
step 00034 (6.5%) | loss: 6.528053 | lrm: 1.00 | dt: 848ms | tok/sec: 309,313 | mfu: 8.7% | epoch: 1 | remaining: 280s    
step 00035 (6.8%) | loss: 6.502492 | lrm: 1.00 | dt: 848ms | tok/sec: 309,245 | mfu: 8.7% | epoch: 1 | remaining: 279s    
step 00036 (7.1%) | loss: 6.483537 | lrm: 1.00 | dt: 848ms | tok/sec: 309,027 | mfu: 8.6% | epoch: 1 | remaining: 278s    
step 00037 (7.3%) | loss: 6.463386 | lrm: 1.00 | dt: 848ms | tok/sec: 309,009 | mfu: 8.6% | epoch: 1 | remaining: 277s    
