Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.927750 | lrm: 1.00 | dt: 6013ms | tok/sec: 43,599 | mfu: 1.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 10.052654 | lrm: 1.00 | dt: 844ms | tok/sec: 310,542 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.834104 | lrm: 1.00 | dt: 844ms | tok/sec: 310,488 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.488720 | lrm: 1.00 | dt: 845ms | tok/sec: 310,305 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.188660 | lrm: 1.00 | dt: 844ms | tok/sec: 310,467 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.940492 | lrm: 1.00 | dt: 845ms | tok/sec: 310,333 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.737716 | lrm: 1.00 | dt: 845ms | tok/sec: 310,107 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.481961 | lrm: 1.00 | dt: 847ms | tok/sec: 309,660 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.276358 | lrm: 1.00 | dt: 846ms | tok/sec: 309,906 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.051090 | lrm: 1.00 | dt: 846ms | tok/sec: 309,998 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.882283 | lrm: 1.00 | dt: 849ms | tok/sec: 308,682 | mfu: 8.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.706642 | lrm: 1.00 | dt: 845ms | tok/sec: 310,050 | mfu: 8.7% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 7.555186 | lrm: 1.00 | dt: 846ms | tok/sec: 309,871 | mfu: 8.7% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 7.424529 | lrm: 1.00 | dt: 848ms | tok/sec: 309,204 | mfu: 8.7% | epoch: 1 | remaining: 297s    
step 00014 (0.8%) | loss: 7.314231 | lrm: 1.00 | dt: 846ms | tok/sec: 309,837 | mfu: 8.7% | epoch: 1 | remaining: 297s    
step 00015 (1.1%) | loss: 7.203993 | lrm: 1.00 | dt: 846ms | tok/sec: 309,860 | mfu: 8.7% | epoch: 1 | remaining: 296s    
step 00016 (1.4%) | loss: 7.106128 | lrm: 1.00 | dt: 846ms | tok/sec: 309,812 | mfu: 8.7% | epoch: 1 | remaining: 295s    
step 00017 (1.7%) | loss: 7.012119 | lrm: 1.00 | dt: 846ms | tok/sec: 309,701 | mfu: 8.7% | epoch: 1 | remaining: 294s    
step 00018 (2.0%) | loss: 6.940841 | lrm: 1.00 | dt: 846ms | tok/sec: 309,689 | mfu: 8.7% | epoch: 1 | remaining: 293s    
step 00019 (2.3%) | loss: 6.870303 | lrm: 1.00 | dt: 846ms | tok/sec: 309,691 | mfu: 8.7% | epoch: 1 | remaining: 292s    
step 00020 (2.5%) | loss: 6.807122 | lrm: 1.00 | dt: 847ms | tok/sec: 309,559 | mfu: 8.7% | epoch: 1 | remaining: 292s    
step 00021 (2.8%) | loss: 6.738530 | lrm: 1.00 | dt: 847ms | tok/sec: 309,562 | mfu: 8.7% | epoch: 1 | remaining: 291s    
step 00022 (3.1%) | loss: 6.679965 | lrm: 1.00 | dt: 847ms | tok/sec: 309,385 | mfu: 8.7% | epoch: 1 | remaining: 290s    
step 00023 (3.4%) | loss: 6.628479 | lrm: 1.00 | dt: 846ms | tok/sec: 309,717 | mfu: 8.7% | epoch: 1 | remaining: 289s    
step 00024 (3.7%) | loss: 6.581075 | lrm: 1.00 | dt: 846ms | tok/sec: 309,734 | mfu: 8.7% | epoch: 1 | remaining: 288s    
step 00025 (4.0%) | loss: 6.533278 | lrm: 1.00 | dt: 847ms | tok/sec: 309,594 | mfu: 8.7% | epoch: 1 | remaining: 287s    
step 00026 (4.2%) | loss: 6.496399 | lrm: 1.00 | dt: 847ms | tok/sec: 309,657 | mfu: 8.7% | epoch: 1 | remaining: 286s    
step 00027 (4.5%) | loss: 6.460159 | lrm: 1.00 | dt: 847ms | tok/sec: 309,660 | mfu: 8.7% | epoch: 1 | remaining: 286s    
step 00028 (4.8%) | loss: 6.415774 | lrm: 1.00 | dt: 846ms | tok/sec: 309,781 | mfu: 8.7% | epoch: 1 | remaining: 285s    
step 00029 (5.1%) | loss: 6.371681 | lrm: 1.00 | dt: 847ms | tok/sec: 309,541 | mfu: 8.7% | epoch: 1 | remaining: 284s    
step 00030 (5.4%) | loss: 6.336827 | lrm: 1.00 | dt: 848ms | tok/sec: 308,989 | mfu: 8.6% | epoch: 1 | remaining: 283s    
step 00031 (5.6%) | loss: 6.301220 | lrm: 1.00 | dt: 846ms | tok/sec: 309,746 | mfu: 8.7% | epoch: 1 | remaining: 282s    
step 00032 (5.9%) | loss: 6.267640 | lrm: 1.00 | dt: 847ms | tok/sec: 309,391 | mfu: 8.7% | epoch: 1 | remaining: 281s    
step 00033 (6.2%) | loss: 6.241513 | lrm: 1.00 | dt: 847ms | tok/sec: 309,630 | mfu: 8.7% | epoch: 1 | remaining: 281s    
step 00034 (6.5%) | loss: 6.213814 | lrm: 1.00 | dt: 847ms | tok/sec: 309,503 | mfu: 8.7% | epoch: 1 | remaining: 280s    
step 00035 (6.8%) | loss: 6.180460 | lrm: 1.00 | dt: 847ms | tok/sec: 309,539 | mfu: 8.7% | epoch: 1 | remaining: 279s    
step 00036 (7.1%) | loss: 6.149001 | lrm: 1.00 | dt: 847ms | tok/sec: 309,536 | mfu: 8.7% | epoch: 1 | remaining: 278s    
step 00037 (7.3%) | loss: 6.127810 | lrm: 1.00 | dt: 847ms | tok/sec: 309,459 | mfu: 8.7% | epoch: 1 | remaining: 277s    
step 00038 (7.6%) | loss: 6.099563 | lrm: 1.00 | dt: 848ms | tok/sec: 309,144 | mfu: 8.6% | epoch: 1 | remaining: 276s    
step 00039 (7.9%) | loss: 6.076324 | lrm: 1.00 | dt: 847ms | tok/sec: 309,482 | mfu: 8.7% | epoch: 1 | remaining: 275s    
step 00040 (8.2%) | loss: 6.048223 | lrm: 1.00 | dt: 847ms | tok/sec: 309,334 | mfu: 8.7% | epoch: 1 | remaining: 275s    
step 00041 (8.5%) | loss: 6.026473 | lrm: 1.00 | dt: 847ms | tok/sec: 309,480 | mfu: 8.7% | epoch: 1 | remaining: 274s    
