[autoresearch/mar9 ac6dfe2] exp53: per-row WD text=0.0 audio=3.0
 1 file changed, 1 insertion(+), 1 deletion(-)
Vocab size: 20,482
Model config: {'sequence_len': 2048, 'vocab_size': 20482, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 10,486,784
  value_embeds            : 41,947,136
  lm_head                 : 10,486,784
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 88,087,056
Estimated FLOPs per token: 2.768333e+08
Per-row WD: text=0.0, audio=3.0
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.927631 | lrm: 1.00 | dt: 6620ms | tok/sec: 39,600 | mfu: 1.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 10.053249 | lrm: 1.00 | dt: 846ms | tok/sec: 309,911 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.834896 | lrm: 1.00 | dt: 846ms | tok/sec: 309,842 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.483627 | lrm: 1.00 | dt: 847ms | tok/sec: 309,630 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.186021 | lrm: 1.00 | dt: 847ms | tok/sec: 309,472 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.919161 | lrm: 1.00 | dt: 846ms | tok/sec: 309,812 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.687981 | lrm: 1.00 | dt: 847ms | tok/sec: 309,476 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.445808 | lrm: 1.00 | dt: 849ms | tok/sec: 308,887 | mfu: 8.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.224931 | lrm: 1.00 | dt: 847ms | tok/sec: 309,469 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.007673 | lrm: 1.00 | dt: 847ms | tok/sec: 309,338 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.846555 | lrm: 1.00 | dt: 849ms | tok/sec: 308,792 | mfu: 8.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.681166 | lrm: 1.00 | dt: 848ms | tok/sec: 309,157 | mfu: 8.6% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 7.539245 | lrm: 1.00 | dt: 847ms | tok/sec: 309,404 | mfu: 8.7% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 7.418631 | lrm: 1.00 | dt: 852ms | tok/sec: 307,777 | mfu: 8.6% | epoch: 1 | remaining: 297s    
step 00014 (0.8%) | loss: 7.318069 | lrm: 1.00 | dt: 850ms | tok/sec: 308,418 | mfu: 8.6% | epoch: 1 | remaining: 297s    
step 00015 (1.1%) | loss: 7.219067 | lrm: 1.00 | dt: 848ms | tok/sec: 309,067 | mfu: 8.6% | epoch: 1 | remaining: 296s    
step 00016 (1.4%) | loss: 7.129160 | lrm: 1.00 | dt: 850ms | tok/sec: 308,548 | mfu: 8.6% | epoch: 1 | remaining: 295s    
step 00017 (1.7%) | loss: 7.041700 | lrm: 1.00 | dt: 849ms | tok/sec: 308,795 | mfu: 8.6% | epoch: 1 | remaining: 294s    
step 00018 (2.0%) | loss: 6.977454 | lrm: 1.00 | dt: 848ms | tok/sec: 308,962 | mfu: 8.6% | epoch: 1 | remaining: 293s    
step 00019 (2.3%) | loss: 6.914670 | lrm: 1.00 | dt: 850ms | tok/sec: 308,533 | mfu: 8.6% | epoch: 1 | remaining: 292s    
step 00020 (2.5%) | loss: 6.852580 | lrm: 1.00 | dt: 848ms | tok/sec: 308,968 | mfu: 8.6% | epoch: 1 | remaining: 292s    
step 00021 (2.8%) | loss: 6.787257 | lrm: 1.00 | dt: 849ms | tok/sec: 308,822 | mfu: 8.6% | epoch: 1 | remaining: 291s    
step 00022 (3.1%) | loss: 6.729479 | lrm: 1.00 | dt: 850ms | tok/sec: 308,299 | mfu: 8.6% | epoch: 1 | remaining: 290s    
step 00023 (3.4%) | loss: 6.672303 | lrm: 1.00 | dt: 848ms | tok/sec: 309,038 | mfu: 8.6% | epoch: 1 | remaining: 289s    
step 00024 (3.7%) | loss: 6.631043 | lrm: 1.00 | dt: 848ms | tok/sec: 309,027 | mfu: 8.6% | epoch: 1 | remaining: 288s    
step 00025 (4.0%) | loss: 6.588876 | lrm: 1.00 | dt: 848ms | tok/sec: 308,997 | mfu: 8.6% | epoch: 1 | remaining: 287s    
step 00026 (4.2%) | loss: 6.560752 | lrm: 1.00 | dt: 850ms | tok/sec: 308,501 | mfu: 8.6% | epoch: 1 | remaining: 286s    
step 00027 (4.5%) | loss: 6.523495 | lrm: 1.00 | dt: 850ms | tok/sec: 308,461 | mfu: 8.6% | epoch: 1 | remaining: 286s    
step 00028 (4.8%) | loss: 6.483350 | lrm: 1.00 | dt: 850ms | tok/sec: 308,562 | mfu: 8.6% | epoch: 1 | remaining: 285s    
step 00029 (5.1%) | loss: 6.450003 | lrm: 1.00 | dt: 850ms | tok/sec: 308,468 | mfu: 8.6% | epoch: 1 | remaining: 284s    
step 00030 (5.4%) | loss: 6.418254 | lrm: 1.00 | dt: 852ms | tok/sec: 307,859 | mfu: 8.6% | epoch: 1 | remaining: 283s    
step 00031 (5.7%) | loss: 6.389565 | lrm: 1.00 | dt: 849ms | tok/sec: 308,646 | mfu: 8.6% | epoch: 1 | remaining: 282s    
step 00032 (5.9%) | loss: 6.363578 | lrm: 1.00 | dt: 849ms | tok/sec: 308,716 | mfu: 8.6% | epoch: 1 | remaining: 281s    
step 00033 (6.2%) | loss: 6.335157 | lrm: 1.00 | dt: 849ms | tok/sec: 308,701 | mfu: 8.6% | epoch: 1 | remaining: 280s    
step 00034 (6.5%) | loss: 6.323727 | lrm: 1.00 | dt: 849ms | tok/sec: 308,812 | mfu: 8.6% | epoch: 1 | remaining: 280s    
step 00035 (6.8%) | loss: 6.295597 | lrm: 1.00 | dt: 849ms | tok/sec: 308,777 | mfu: 8.6% | epoch: 1 | remaining: 279s    
step 00036 (7.1%) | loss: 6.268908 | lrm: 1.00 | dt: 849ms | tok/sec: 308,679 | mfu: 8.6% | epoch: 1 | remaining: 278s    
step 00037 (7.4%) | loss: 6.248023 | lrm: 1.00 | dt: 849ms | tok/sec: 308,712 | mfu: 8.6% | epoch: 1 | remaining: 277s    
