[autoresearch/mar9 fbc686a] exp55: per-row WD text=0.0 audio=3.5
 1 file changed, 1 insertion(+), 1 deletion(-)
Vocab size: 20,482
Model config: {'sequence_len': 2048, 'vocab_size': 20482, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 10,486,784
  value_embeds            : 41,947,136
  lm_head                 : 10,486,784
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 88,087,056
Estimated FLOPs per token: 2.768333e+08
Per-row WD: text=0.0, audio=3.5
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.927800 | lrm: 1.00 | dt: 6178ms | tok/sec: 42,430 | mfu: 1.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 10.053505 | lrm: 1.00 | dt: 846ms | tok/sec: 309,803 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.831732 | lrm: 1.00 | dt: 847ms | tok/sec: 309,522 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.489909 | lrm: 1.00 | dt: 847ms | tok/sec: 309,653 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.190486 | lrm: 1.00 | dt: 848ms | tok/sec: 309,094 | mfu: 8.6% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.922647 | lrm: 1.00 | dt: 847ms | tok/sec: 309,628 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.687117 | lrm: 1.00 | dt: 847ms | tok/sec: 309,583 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.438098 | lrm: 1.00 | dt: 848ms | tok/sec: 309,065 | mfu: 8.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.214155 | lrm: 1.00 | dt: 848ms | tok/sec: 309,298 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.997051 | lrm: 1.00 | dt: 847ms | tok/sec: 309,476 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.835613 | lrm: 1.00 | dt: 849ms | tok/sec: 308,803 | mfu: 8.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.666475 | lrm: 1.00 | dt: 848ms | tok/sec: 309,165 | mfu: 8.6% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 7.527849 | lrm: 1.00 | dt: 848ms | tok/sec: 309,163 | mfu: 8.6% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 7.403977 | lrm: 1.00 | dt: 849ms | tok/sec: 308,635 | mfu: 8.6% | epoch: 1 | remaining: 297s    
step 00014 (0.8%) | loss: 7.306730 | lrm: 1.00 | dt: 849ms | tok/sec: 308,705 | mfu: 8.6% | epoch: 1 | remaining: 297s    
step 00015 (1.1%) | loss: 7.210996 | lrm: 1.00 | dt: 850ms | tok/sec: 308,562 | mfu: 8.6% | epoch: 1 | remaining: 296s    
step 00016 (1.4%) | loss: 7.123243 | lrm: 1.00 | dt: 848ms | tok/sec: 309,064 | mfu: 8.6% | epoch: 1 | remaining: 295s    
step 00017 (1.7%) | loss: 7.031642 | lrm: 1.00 | dt: 848ms | tok/sec: 308,994 | mfu: 8.6% | epoch: 1 | remaining: 294s    
step 00018 (2.0%) | loss: 6.981019 | lrm: 1.00 | dt: 850ms | tok/sec: 308,397 | mfu: 8.6% | epoch: 1 | remaining: 293s    
step 00019 (2.3%) | loss: 6.916104 | lrm: 1.00 | dt: 849ms | tok/sec: 308,890 | mfu: 8.6% | epoch: 1 | remaining: 292s    
step 00020 (2.5%) | loss: 6.860568 | lrm: 1.00 | dt: 849ms | tok/sec: 308,878 | mfu: 8.6% | epoch: 1 | remaining: 292s    
step 00021 (2.8%) | loss: 6.797206 | lrm: 1.00 | dt: 849ms | tok/sec: 308,855 | mfu: 8.6% | epoch: 1 | remaining: 291s    
step 00022 (3.1%) | loss: 6.746964 | lrm: 1.00 | dt: 852ms | tok/sec: 307,808 | mfu: 8.6% | epoch: 1 | remaining: 290s    
step 00023 (3.4%) | loss: 6.695905 | lrm: 1.00 | dt: 849ms | tok/sec: 308,641 | mfu: 8.6% | epoch: 1 | remaining: 289s    
step 00024 (3.7%) | loss: 6.656444 | lrm: 1.00 | dt: 848ms | tok/sec: 308,987 | mfu: 8.6% | epoch: 1 | remaining: 288s    
step 00025 (4.0%) | loss: 6.614634 | lrm: 1.00 | dt: 850ms | tok/sec: 308,546 | mfu: 8.6% | epoch: 1 | remaining: 287s    
step 00026 (4.2%) | loss: 6.582383 | lrm: 1.00 | dt: 849ms | tok/sec: 308,620 | mfu: 8.6% | epoch: 1 | remaining: 286s    
step 00027 (4.5%) | loss: 6.553230 | lrm: 1.00 | dt: 850ms | tok/sec: 308,516 | mfu: 8.6% | epoch: 1 | remaining: 286s    
step 00028 (4.8%) | loss: 6.514889 | lrm: 1.00 | dt: 849ms | tok/sec: 308,659 | mfu: 8.6% | epoch: 1 | remaining: 285s    
step 00029 (5.1%) | loss: 6.483745 | lrm: 1.00 | dt: 851ms | tok/sec: 308,175 | mfu: 8.6% | epoch: 1 | remaining: 284s    
step 00030 (5.4%) | loss: 6.456706 | lrm: 1.00 | dt: 851ms | tok/sec: 308,028 | mfu: 8.6% | epoch: 1 | remaining: 283s    
step 00031 (5.7%) | loss: 6.420199 | lrm: 1.00 | dt: 849ms | tok/sec: 308,650 | mfu: 8.6% | epoch: 1 | remaining: 282s    
step 00032 (5.9%) | loss: 6.396682 | lrm: 1.00 | dt: 850ms | tok/sec: 308,479 | mfu: 8.6% | epoch: 1 | remaining: 281s    
step 00033 (6.2%) | loss: 6.371437 | lrm: 1.00 | dt: 850ms | tok/sec: 308,504 | mfu: 8.6% | epoch: 1 | remaining: 280s    
step 00034 (6.5%) | loss: 6.348217 | lrm: 1.00 | dt: 850ms | tok/sec: 308,579 | mfu: 8.6% | epoch: 1 | remaining: 280s    
step 00035 (6.8%) | loss: 6.312384 | lrm: 1.00 | dt: 849ms | tok/sec: 308,798 | mfu: 8.6% | epoch: 1 | remaining: 279s    
step 00036 (7.1%) | loss: 6.283245 | lrm: 1.00 | dt: 850ms | tok/sec: 308,464 | mfu: 8.6% | epoch: 1 | remaining: 278s    
step 00037 (7.4%) | loss: 6.266872 | lrm: 1.00 | dt: 850ms | tok/sec: 308,513 | mfu: 8.6% | epoch: 1 | remaining: 277s    
