Running diagnostic training run...
Vocab size: 20,482
Model config: {'sequence_len': 2048, 'vocab_size': 20482, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'LLLL'}
Parameter counts:
  wte                     : 10,486,784
  value_embeds            : 41,947,136
  lm_head                 : 10,486,784
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 88,087,056
Estimated FLOPs per token: 3.145820e+08
Per-row WD: text=0.0, audio=0.0
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 4

step 00000 (0.0%) | loss: 9.927877 | lrm: 1.00 | dt: 4494ms | tok/sec: 29,166 | mfu: 0.9% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 10.025288 | lrm: 1.00 | dt: 256ms | tok/sec: 512,954 | mfu: 16.3% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.831115 | lrm: 1.00 | dt: 256ms | tok/sec: 512,280 | mfu: 16.3% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.495584 | lrm: 1.00 | dt: 256ms | tok/sec: 512,078 | mfu: 16.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.193242 | lrm: 1.00 | dt: 256ms | tok/sec: 511,809 | mfu: 16.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.921685 | lrm: 1.00 | dt: 256ms | tok/sec: 511,615 | mfu: 16.3% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.674627 | lrm: 1.00 | dt: 256ms | tok/sec: 511,393 | mfu: 16.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.432794 | lrm: 1.00 | dt: 266ms | tok/sec: 491,947 | mfu: 15.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.230793 | lrm: 1.00 | dt: 256ms | tok/sec: 511,381 | mfu: 16.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.046154 | lrm: 1.00 | dt: 257ms | tok/sec: 510,654 | mfu: 16.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.871560 | lrm: 1.00 | dt: 257ms | tok/sec: 510,453 | mfu: 16.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.716268 | lrm: 1.00 | dt: 257ms | tok/sec: 510,574 | mfu: 16.2% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 7.581417 | lrm: 1.00 | dt: 256ms | tok/sec: 511,209 | mfu: 16.3% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 7.461303 | lrm: 1.00 | dt: 257ms | tok/sec: 510,044 | mfu: 16.2% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 7.352089 | lrm: 1.00 | dt: 257ms | tok/sec: 510,133 | mfu: 16.2% | epoch: 1 | remaining: 299s    
step 00015 (0.3%) | loss: 7.252984 | lrm: 1.00 | dt: 257ms | tok/sec: 509,803 | mfu: 16.2% | epoch: 1 | remaining: 299s    
step 00016 (0.4%) | loss: 7.153825 | lrm: 1.00 | dt: 261ms | tok/sec: 502,159 | mfu: 16.0% | epoch: 1 | remaining: 298s    
step 00017 (0.5%) | loss: 7.072006 | lrm: 1.00 | dt: 257ms | tok/sec: 510,150 | mfu: 16.2% | epoch: 1 | remaining: 298s    
step 00018 (0.6%) | loss: 6.995029 | lrm: 1.00 | dt: 257ms | tok/sec: 509,824 | mfu: 16.2% | epoch: 1 | remaining: 298s    
step 00019 (0.7%) | loss: 6.921374 | lrm: 1.00 | dt: 257ms | tok/sec: 509,545 | mfu: 16.2% | epoch: 1 | remaining: 298s    
step 00020 (0.8%) | loss: 6.859282 | lrm: 1.00 | dt: 258ms | tok/sec: 508,825 | mfu: 16.2% | epoch: 1 | remaining: 297s    
step 00021 (0.9%) | loss: 6.798117 | lrm: 1.00 | dt: 258ms | tok/sec: 508,921 | mfu: 16.2% | epoch: 1 | remaining: 297s    
step 00022 (0.9%) | loss: 6.748884 | lrm: 1.00 | dt: 258ms | tok/sec: 508,469 | mfu: 16.2% | epoch: 1 | remaining: 297s    
step 00023 (1.0%) | loss: 6.710338 | lrm: 1.00 | dt: 258ms | tok/sec: 508,795 | mfu: 16.2% | epoch: 1 | remaining: 297s    
step 00024 (1.1%) | loss: 6.665245 | lrm: 1.00 | dt: 258ms | tok/sec: 508,369 | mfu: 16.2% | epoch: 1 | remaining: 296s    
step 00025 (1.2%) | loss: 6.622585 | lrm: 1.00 | dt: 257ms | tok/sec: 509,030 | mfu: 16.2% | epoch: 1 | remaining: 296s    
step 00026 (1.3%) | loss: 6.590633 | lrm: 1.00 | dt: 258ms | tok/sec: 508,564 | mfu: 16.2% | epoch: 1 | remaining: 296s    
step 00027 (1.4%) | loss: 6.552847 | lrm: 1.00 | dt: 257ms | tok/sec: 509,156 | mfu: 16.2% | epoch: 1 | remaining: 296s    
step 00028 (1.5%) | loss: 6.511046 | lrm: 1.00 | dt: 257ms | tok/sec: 509,142 | mfu: 16.2% | epoch: 1 | remaining: 295s    
step 00029 (1.5%) | loss: 6.478156 | lrm: 1.00 | dt: 257ms | tok/sec: 509,065 | mfu: 16.2% | epoch: 1 | remaining: 295s    
step 00030 (1.6%) | loss: 6.441450 | lrm: 1.00 | dt: 258ms | tok/sec: 508,744 | mfu: 16.2% | epoch: 1 | remaining: 295s    
step 00031 (1.7%) | loss: 6.408541 | lrm: 1.00 | dt: 257ms | tok/sec: 509,196 | mfu: 16.2% | epoch: 1 | remaining: 295s    
step 00032 (1.8%) | loss: 6.373681 | lrm: 1.00 | dt: 257ms | tok/sec: 509,327 | mfu: 16.2% | epoch: 1 | remaining: 294s    
step 00033 (1.9%) | loss: 6.344784 | lrm: 1.00 | dt: 258ms | tok/sec: 508,806 | mfu: 16.2% | epoch: 1 | remaining: 294s    
step 00034 (2.0%) | loss: 6.307971 | lrm: 1.00 | dt: 258ms | tok/sec: 507,483 | mfu: 16.1% | epoch: 1 | remaining: 294s    
step 00035 (2.1%) | loss: 6.279236 | lrm: 1.00 | dt: 258ms | tok/sec: 507,905 | mfu: 16.1% | epoch: 1 | remaining: 294s    
step 00036 (2.1%) | loss: 6.251029 | lrm: 1.00 | dt: 258ms | tok/sec: 508,134 | mfu: 16.2% | epoch: 1 | remaining: 293s    
step 00037 (2.2%) | loss: 6.224586 | lrm: 1.00 | dt: 259ms | tok/sec: 506,886 | mfu: 16.1% | epoch: 1 | remaining: 293s    
step 00038 (2.3%) | loss: 6.201184 | lrm: 1.00 | dt: 258ms | tok/sec: 508,057 | mfu: 16.2% | epoch: 1 | remaining: 293s    
step 00039 (2.4%) | loss: 6.182001 | lrm: 1.00 | dt: 258ms | tok/sec: 507,849 | mfu: 16.1% | epoch: 1 | remaining: 293s    
step 00040 (2.5%) | loss: 6.162965 | lrm: 1.00 | dt: 258ms | tok/sec: 507,810 | mfu: 16.1% | epoch: 1 | remaining: 292s    
step 00041 (2.6%) | loss: 6.141110 | lrm: 1.00 | dt: 258ms | tok/sec: 507,093 | mfu: 16.1% | epoch: 1 | remaining: 292s    
step 00042 (2.7%) | loss: 6.115403 | lrm: 1.00 | dt: 258ms | tok/sec: 508,439 | mfu: 16.2% | epoch: 1 | remaining: 292s    
step 00043 (2.7%) | loss: 6.085967 | lrm: 1.00 | dt: 269ms | tok/sec: 487,676 | mfu: 15.5% | epoch: 1 | remaining: 291s    
step 00044 (2.8%) | loss: 6.066861 | lrm: 1.00 | dt: 257ms | tok/sec: 510,219 | mfu: 16.2% | epoch: 1 | remaining: 291s    
step 00045 (2.9%) | loss: 6.035627 | lrm: 1.00 | dt: 257ms | tok/sec: 510,108 | mfu: 16.2% | epoch: 1 | remaining: 291s    
step 00046 (3.0%) | loss: 6.011123 | lrm: 1.00 | dt: 257ms | tok/sec: 509,830 | mfu: 16.2% | epoch: 1 | remaining: 291s    
step 00047 (3.1%) | loss: 5.983935 | lrm: 1.00 | dt: 258ms | tok/sec: 508,968 | mfu: 16.2% | epoch: 1 | remaining: 290s    
step 00048 (3.2%) | loss: 5.964903 | lrm: 1.00 | dt: 258ms | tok/sec: 508,817 | mfu: 16.2% | epoch: 1 | remaining: 290s    
step 00049 (3.3%) | loss: 5.933697 | lrm: 1.00 | dt: 258ms | tok/sec: 508,243 | mfu: 16.2% | epoch: 1 | remaining: 290s    
step 00050 (3.4%) | loss: 5.911448 | lrm: 1.00 | dt: 304ms | tok/sec: 431,194 | mfu: 13.7% | epoch: 1 | remaining: 290s    
step 00051 (3.5%) | loss: 5.882992 | lrm: 1.00 | dt: 257ms | tok/sec: 510,290 | mfu: 16.2% | epoch: 1 | remaining: 289s    
step 00052 (3.5%) | loss: 5.858755 | lrm: 1.00 | dt: 257ms | tok/sec: 510,820 | mfu: 16.2% | epoch: 1 | remaining: 289s    
step 00053 (3.6%) | loss: 5.830797 | lrm: 1.00 | dt: 257ms | tok/sec: 510,733 | mfu: 16.2% | epoch: 1 | remaining: 289s    
step 00054 (3.7%) | loss: 5.805762 | lrm: 1.00 | dt: 257ms | tok/sec: 510,396 | mfu: 16.2% | epoch: 1 | remaining: 289s    
step 00055 (3.8%) | loss: 5.788657 | lrm: 1.00 | dt: 258ms | tok/sec: 508,482 | mfu: 16.2% | epoch: 1 | remaining: 288s    
step 00056 (3.9%) | loss: 5.765666 | lrm: 1.00 | dt: 258ms | tok/sec: 508,105 | mfu: 16.2% | epoch: 1 | remaining: 288s    
step 00057 (4.0%) | loss: 5.740681 | lrm: 1.00 | dt: 258ms | tok/sec: 508,202 | mfu: 16.2% | epoch: 1 | remaining: 288s    
step 00058 (4.1%) | loss: 5.723246 | lrm: 1.00 | dt: 258ms | tok/sec: 508,052 | mfu: 16.2% | epoch: 1 | remaining: 288s    
step 00059 (4.1%) | loss: 5.699433 | lrm: 1.00 | dt: 258ms | tok/sec: 508,139 | mfu: 16.2% | epoch: 1 | remaining: 287s    
step 00060 (4.2%) | loss: 5.677410 | lrm: 1.00 | dt: 258ms | tok/sec: 507,960 | mfu: 16.1% | epoch: 1 | remaining: 287s    
step 00061 (4.3%) | loss: 5.659526 | lrm: 1.00 | dt: 258ms | tok/sec: 508,011 | mfu: 16.2% | epoch: 1 | remaining: 287s    
step 00062 (4.4%) | loss: 5.633093 | lrm: 1.00 | dt: 258ms | tok/sec: 508,118 | mfu: 16.2% | epoch: 1 | remaining: 287s    
step 00063 (4.5%) | loss: 5.616690 | lrm: 1.00 | dt: 258ms | tok/sec: 508,172 | mfu: 16.2% | epoch: 1 | remaining: 286s    
step 00064 (4.6%) | loss: 5.604751 | lrm: 1.00 | dt: 258ms | tok/sec: 507,116 | mfu: 16.1% | epoch: 1 | remaining: 286s    
step 00065 (4.7%) | loss: 5.586267 | lrm: 1.00 | dt: 258ms | tok/sec: 507,116 | mfu: 16.1% | epoch: 1 | remaining: 286s    
step 00066 (4.7%) | loss: 5.563685 | lrm: 1.00 | dt: 259ms | tok/sec: 506,609 | mfu: 16.1% | epoch: 1 | remaining: 286s    
step 00067 (4.8%) | loss: 5.546811 | lrm: 1.00 | dt: 259ms | tok/sec: 507,031 | mfu: 16.1% | epoch: 1 | remaining: 285s    
step 00068 (4.9%) | loss: 5.531302 | lrm: 1.00 | dt: 258ms | tok/sec: 507,301 | mfu: 16.1% | epoch: 1 | remaining: 285s    
step 00069 (5.0%) | loss: 5.512058 | lrm: 1.00 | dt: 259ms | tok/sec: 506,771 | mfu: 16.1% | epoch: 1 | remaining: 285s    
step 00070 (5.1%) | loss: 5.498829 | lrm: 1.00 | dt: 259ms | tok/sec: 506,770 | mfu: 16.1% | epoch: 1 | remaining: 284s    
step 00071 (5.2%) | loss: 5.484823 | lrm: 1.00 | dt: 270ms | tok/sec: 485,833 | mfu: 15.4% | epoch: 1 | remaining: 284s    
step 00072 (5.3%) | loss: 5.466351 | lrm: 1.00 | dt: 257ms | tok/sec: 509,041 | mfu: 16.2% | epoch: 1 | remaining: 284s    
step 00073 (5.3%) | loss: 5.440689 | lrm: 1.00 | dt: 258ms | tok/sec: 507,707 | mfu: 16.1% | epoch: 1 | remaining: 284s    
step 00074 (5.4%) | loss: 5.424428 | lrm: 1.00 | dt: 259ms | tok/sec: 506,896 | mfu: 16.1% | epoch: 1 | remaining: 283s    
step 00075 (5.5%) | loss: 5.414171 | lrm: 1.00 | dt: 259ms | tok/sec: 506,689 | mfu: 16.1% | epoch: 1 | remaining: 283s    
step 00076 (5.6%) | loss: 5.402644 | lrm: 1.00 | dt: 259ms | tok/sec: 505,807 | mfu: 16.1% | epoch: 1 | remaining: 283s    
step 00077 (5.7%) | loss: 5.380458 | lrm: 1.00 | dt: 259ms | tok/sec: 506,055 | mfu: 16.1% | epoch: 1 | remaining: 283s    
step 00078 (5.8%) | loss: 5.358003 | lrm: 1.00 | dt: 259ms | tok/sec: 506,502 | mfu: 16.1% | epoch: 1 | remaining: 282s    
step 00079 (5.9%) | loss: 5.332178 | lrm: 1.00 | dt: 259ms | tok/sec: 506,384 | mfu: 16.1% | epoch: 1 | remaining: 282s    
step 00080 (6.0%) | loss: 5.315112 | lrm: 1.00 | dt: 259ms | tok/sec: 506,421 | mfu: 16.1% | epoch: 1 | remaining: 282s    
step 00081 (6.0%) | loss: 5.292860 | lrm: 1.00 | dt: 259ms | tok/sec: 506,206 | mfu: 16.1% | epoch: 1 | remaining: 282s    
step 00082 (6.1%) | loss: 5.276385 | lrm: 1.00 | dt: 280ms | tok/sec: 468,916 | mfu: 14.9% | epoch: 1 | remaining: 281s    
step 00083 (6.2%) | loss: 5.262264 | lrm: 1.00 | dt: 257ms | tok/sec: 509,220 | mfu: 16.2% | epoch: 1 | remaining: 281s    
