Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.927696 | lrm: 1.00 | dt: 6322ms | tok/sec: 41,467 | mfu: 1.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 10.054531 | lrm: 1.00 | dt: 844ms | tok/sec: 310,525 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.834474 | lrm: 1.00 | dt: 844ms | tok/sec: 310,595 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.482912 | lrm: 1.00 | dt: 845ms | tok/sec: 310,383 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.180215 | lrm: 1.00 | dt: 844ms | tok/sec: 310,456 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.931731 | lrm: 1.00 | dt: 844ms | tok/sec: 310,672 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.732635 | lrm: 1.00 | dt: 844ms | tok/sec: 310,443 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.478058 | lrm: 1.00 | dt: 846ms | tok/sec: 309,918 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.271392 | lrm: 1.00 | dt: 845ms | tok/sec: 310,131 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.050105 | lrm: 1.00 | dt: 845ms | tok/sec: 310,108 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.878202 | lrm: 1.00 | dt: 847ms | tok/sec: 309,595 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.704408 | lrm: 1.00 | dt: 845ms | tok/sec: 310,152 | mfu: 8.7% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 7.547484 | lrm: 1.00 | dt: 845ms | tok/sec: 310,163 | mfu: 8.7% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 7.421113 | lrm: 1.00 | dt: 847ms | tok/sec: 309,411 | mfu: 8.7% | epoch: 1 | remaining: 297s    
step 00014 (0.8%) | loss: 7.309949 | lrm: 1.00 | dt: 846ms | tok/sec: 309,977 | mfu: 8.7% | epoch: 1 | remaining: 297s    
step 00015 (1.1%) | loss: 7.203923 | lrm: 1.00 | dt: 846ms | tok/sec: 310,030 | mfu: 8.7% | epoch: 1 | remaining: 296s    
step 00016 (1.4%) | loss: 7.105353 | lrm: 1.00 | dt: 846ms | tok/sec: 309,965 | mfu: 8.7% | epoch: 1 | remaining: 295s    
step 00017 (1.7%) | loss: 7.008678 | lrm: 1.00 | dt: 846ms | tok/sec: 309,998 | mfu: 8.7% | epoch: 1 | remaining: 294s    
step 00018 (2.0%) | loss: 6.931882 | lrm: 1.00 | dt: 847ms | tok/sec: 309,604 | mfu: 8.7% | epoch: 1 | remaining: 293s    
step 00019 (2.3%) | loss: 6.865507 | lrm: 1.00 | dt: 846ms | tok/sec: 309,795 | mfu: 8.7% | epoch: 1 | remaining: 292s    
step 00020 (2.5%) | loss: 6.799418 | lrm: 1.00 | dt: 846ms | tok/sec: 309,697 | mfu: 8.7% | epoch: 1 | remaining: 292s    
step 00021 (2.8%) | loss: 6.731621 | lrm: 1.00 | dt: 847ms | tok/sec: 309,563 | mfu: 8.7% | epoch: 1 | remaining: 291s    
step 00022 (3.1%) | loss: 6.675873 | lrm: 1.00 | dt: 848ms | tok/sec: 309,249 | mfu: 8.7% | epoch: 1 | remaining: 290s    
step 00023 (3.4%) | loss: 6.617294 | lrm: 1.00 | dt: 846ms | tok/sec: 309,832 | mfu: 8.7% | epoch: 1 | remaining: 289s    
step 00024 (3.7%) | loss: 6.571601 | lrm: 1.00 | dt: 846ms | tok/sec: 309,790 | mfu: 8.7% | epoch: 1 | remaining: 288s    
step 00025 (3.9%) | loss: 6.526181 | lrm: 1.00 | dt: 847ms | tok/sec: 309,660 | mfu: 8.7% | epoch: 1 | remaining: 287s    
step 00026 (4.2%) | loss: 6.488069 | lrm: 1.00 | dt: 848ms | tok/sec: 309,126 | mfu: 8.6% | epoch: 1 | remaining: 286s    
step 00027 (4.5%) | loss: 6.450554 | lrm: 1.00 | dt: 848ms | tok/sec: 309,203 | mfu: 8.7% | epoch: 1 | remaining: 286s    
step 00028 (4.8%) | loss: 6.403432 | lrm: 1.00 | dt: 846ms | tok/sec: 309,814 | mfu: 8.7% | epoch: 1 | remaining: 285s    
step 00029 (5.1%) | loss: 6.365785 | lrm: 1.00 | dt: 846ms | tok/sec: 309,695 | mfu: 8.7% | epoch: 1 | remaining: 284s    
step 00030 (5.4%) | loss: 6.333294 | lrm: 1.00 | dt: 849ms | tok/sec: 308,846 | mfu: 8.6% | epoch: 1 | remaining: 283s    
step 00031 (5.6%) | loss: 6.301183 | lrm: 1.00 | dt: 847ms | tok/sec: 309,675 | mfu: 8.7% | epoch: 1 | remaining: 282s    
step 00032 (5.9%) | loss: 6.267879 | lrm: 1.00 | dt: 847ms | tok/sec: 309,604 | mfu: 8.7% | epoch: 1 | remaining: 281s    
step 00033 (6.2%) | loss: 6.241456 | lrm: 1.00 | dt: 846ms | tok/sec: 309,807 | mfu: 8.7% | epoch: 1 | remaining: 281s    
step 00034 (6.5%) | loss: 6.222420 | lrm: 1.00 | dt: 846ms | tok/sec: 309,687 | mfu: 8.7% | epoch: 1 | remaining: 280s    
step 00035 (6.8%) | loss: 6.190888 | lrm: 1.00 | dt: 846ms | tok/sec: 309,806 | mfu: 8.7% | epoch: 1 | remaining: 279s    
step 00036 (7.1%) | loss: 6.156352 | lrm: 1.00 | dt: 847ms | tok/sec: 309,479 | mfu: 8.7% | epoch: 1 | remaining: 278s    
step 00037 (7.3%) | loss: 6.133272 | lrm: 1.00 | dt: 847ms | tok/sec: 309,678 | mfu: 8.7% | epoch: 1 | remaining: 277s    
step 00038 (7.6%) | loss: 6.101696 | lrm: 1.00 | dt: 848ms | tok/sec: 309,279 | mfu: 8.7% | epoch: 1 | remaining: 276s    
step 00039 (7.9%) | loss: 6.080340 | lrm: 1.00 | dt: 847ms | tok/sec: 309,603 | mfu: 8.7% | epoch: 1 | remaining: 275s    
step 00040 (8.2%) | loss: 6.051386 | lrm: 1.00 | dt: 846ms | tok/sec: 309,680 | mfu: 8.7% | epoch: 1 | remaining: 275s    
step 00041 (8.5%) | loss: 6.024138 | lrm: 1.00 | dt: 847ms | tok/sec: 309,578 | mfu: 8.7% | epoch: 1 | remaining: 274s    
step 00042 (8.7%) | loss: 6.000260 | lrm: 1.00 | dt: 846ms | tok/sec: 309,708 | mfu: 8.7% | epoch: 1 | remaining: 273s    
step 00043 (9.0%) | loss: 5.968543 | lrm: 1.00 | dt: 847ms | tok/sec: 309,613 | mfu: 8.7% | epoch: 1 | remaining: 272s    
step 00044 (9.3%) | loss: 5.960736 | lrm: 1.00 | dt: 847ms | tok/sec: 309,604 | mfu: 8.7% | epoch: 1 | remaining: 271s    
step 00045 (9.6%) | loss: 5.961838 | lrm: 1.00 | dt: 847ms | tok/sec: 309,521 | mfu: 8.7% | epoch: 1 | remaining: 270s    
step 00046 (9.9%) | loss: 5.930895 | lrm: 1.00 | dt: 847ms | tok/sec: 309,452 | mfu: 8.7% | epoch: 1 | remaining: 270s    
step 00047 (10.2%) | loss: 5.908332 | lrm: 1.00 | dt: 848ms | tok/sec: 309,124 | mfu: 8.6% | epoch: 1 | remaining: 269s    
step 00048 (10.4%) | loss: 5.881067 | lrm: 1.00 | dt: 847ms | tok/sec: 309,360 | mfu: 8.7% | epoch: 1 | remaining: 268s    
step 00049 (10.7%) | loss: 5.867392 | lrm: 1.00 | dt: 847ms | tok/sec: 309,339 | mfu: 8.7% | epoch: 1 | remaining: 267s    
step 00050 (11.0%) | loss: 5.843451 | lrm: 1.00 | dt: 848ms | tok/sec: 309,049 | mfu: 8.6% | epoch: 1 | remaining: 266s    
step 00051 (11.3%) | loss: 5.825750 | lrm: 1.00 | dt: 848ms | tok/sec: 309,145 | mfu: 8.6% | epoch: 1 | remaining: 265s    
step 00052 (11.6%) | loss: 5.806800 | lrm: 1.00 | dt: 848ms | tok/sec: 309,045 | mfu: 8.6% | epoch: 1 | remaining: 264s    
step 00053 (11.9%) | loss: 5.785632 | lrm: 1.00 | dt: 848ms | tok/sec: 309,143 | mfu: 8.6% | epoch: 1 | remaining: 264s    
step 00054 (12.1%) | loss: 5.753534 | lrm: 1.00 | dt: 848ms | tok/sec: 309,092 | mfu: 8.6% | epoch: 1 | remaining: 263s    
