[autoresearch/mar9 5ba7941] exp57: per-row WD on wte+VE+lm_head — text=0.0 audio=3.0
 1 file changed, 2 insertions(+), 1 deletion(-)
Vocab size: 20,482
Model config: {'sequence_len': 2048, 'vocab_size': 20482, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 10,486,784
  value_embeds            : 41,947,136
  lm_head                 : 10,486,784
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 88,087,056
Estimated FLOPs per token: 2.768333e+08
Per-row WD: text=0.0, audio=3.0
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.927721 | lrm: 1.00 | dt: 6042ms | tok/sec: 43,383 | mfu: 1.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 10.053556 | lrm: 1.00 | dt: 846ms | tok/sec: 309,736 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.833657 | lrm: 1.00 | dt: 846ms | tok/sec: 309,910 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.482072 | lrm: 1.00 | dt: 846ms | tok/sec: 309,690 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.182352 | lrm: 1.00 | dt: 846ms | tok/sec: 309,723 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.915709 | lrm: 1.00 | dt: 847ms | tok/sec: 309,629 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.695065 | lrm: 1.00 | dt: 847ms | tok/sec: 309,534 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.460825 | lrm: 1.00 | dt: 849ms | tok/sec: 308,862 | mfu: 8.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.249359 | lrm: 1.00 | dt: 847ms | tok/sec: 309,499 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.034531 | lrm: 1.00 | dt: 848ms | tok/sec: 309,257 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.871480 | lrm: 1.00 | dt: 851ms | tok/sec: 308,202 | mfu: 8.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.702955 | lrm: 1.00 | dt: 847ms | tok/sec: 309,366 | mfu: 8.7% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 7.559428 | lrm: 1.00 | dt: 847ms | tok/sec: 309,337 | mfu: 8.7% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 7.430269 | lrm: 1.00 | dt: 849ms | tok/sec: 308,716 | mfu: 8.6% | epoch: 1 | remaining: 297s    
step 00014 (0.8%) | loss: 7.324989 | lrm: 1.00 | dt: 847ms | tok/sec: 309,347 | mfu: 8.7% | epoch: 1 | remaining: 297s    
step 00015 (1.1%) | loss: 7.224658 | lrm: 1.00 | dt: 848ms | tok/sec: 308,983 | mfu: 8.6% | epoch: 1 | remaining: 296s    
step 00016 (1.4%) | loss: 7.130071 | lrm: 1.00 | dt: 848ms | tok/sec: 309,219 | mfu: 8.7% | epoch: 1 | remaining: 295s    
step 00017 (1.7%) | loss: 7.046629 | lrm: 1.00 | dt: 848ms | tok/sec: 308,971 | mfu: 8.6% | epoch: 1 | remaining: 294s    
step 00018 (2.0%) | loss: 6.975064 | lrm: 1.00 | dt: 849ms | tok/sec: 308,875 | mfu: 8.6% | epoch: 1 | remaining: 293s    
step 00019 (2.3%) | loss: 6.909001 | lrm: 1.00 | dt: 848ms | tok/sec: 308,958 | mfu: 8.6% | epoch: 1 | remaining: 292s    
step 00020 (2.5%) | loss: 6.861854 | lrm: 1.00 | dt: 849ms | tok/sec: 308,618 | mfu: 8.6% | epoch: 1 | remaining: 292s    
step 00021 (2.8%) | loss: 6.798345 | lrm: 1.00 | dt: 849ms | tok/sec: 308,773 | mfu: 8.6% | epoch: 1 | remaining: 291s    
step 00022 (3.1%) | loss: 6.759236 | lrm: 1.00 | dt: 851ms | tok/sec: 307,910 | mfu: 8.6% | epoch: 1 | remaining: 290s    
step 00023 (3.4%) | loss: 6.708523 | lrm: 1.00 | dt: 849ms | tok/sec: 308,919 | mfu: 8.6% | epoch: 1 | remaining: 289s    
step 00024 (3.7%) | loss: 6.668216 | lrm: 1.00 | dt: 849ms | tok/sec: 308,910 | mfu: 8.6% | epoch: 1 | remaining: 288s    
step 00025 (4.0%) | loss: 6.630768 | lrm: 1.00 | dt: 848ms | tok/sec: 309,085 | mfu: 8.6% | epoch: 1 | remaining: 287s    
step 00026 (4.2%) | loss: 6.599395 | lrm: 1.00 | dt: 849ms | tok/sec: 308,874 | mfu: 8.6% | epoch: 1 | remaining: 286s    
step 00027 (4.5%) | loss: 6.562909 | lrm: 1.00 | dt: 849ms | tok/sec: 308,862 | mfu: 8.6% | epoch: 1 | remaining: 286s    
step 00028 (4.8%) | loss: 6.522623 | lrm: 1.00 | dt: 848ms | tok/sec: 308,990 | mfu: 8.6% | epoch: 1 | remaining: 285s    
step 00029 (5.1%) | loss: 6.488099 | lrm: 1.00 | dt: 849ms | tok/sec: 308,607 | mfu: 8.6% | epoch: 1 | remaining: 284s    
step 00030 (5.4%) | loss: 6.461223 | lrm: 1.00 | dt: 850ms | tok/sec: 308,390 | mfu: 8.6% | epoch: 1 | remaining: 283s    
step 00031 (5.7%) | loss: 6.446155 | lrm: 1.00 | dt: 849ms | tok/sec: 308,879 | mfu: 8.6% | epoch: 1 | remaining: 282s    
step 00032 (5.9%) | loss: 6.413193 | lrm: 1.00 | dt: 849ms | tok/sec: 308,721 | mfu: 8.6% | epoch: 1 | remaining: 281s    
step 00033 (6.2%) | loss: 6.389949 | lrm: 1.00 | dt: 849ms | tok/sec: 308,721 | mfu: 8.6% | epoch: 1 | remaining: 280s    
step 00034 (6.5%) | loss: 6.373217 | lrm: 1.00 | dt: 849ms | tok/sec: 308,687 | mfu: 8.6% | epoch: 1 | remaining: 280s    
step 00035 (6.8%) | loss: 6.342893 | lrm: 1.00 | dt: 849ms | tok/sec: 308,780 | mfu: 8.6% | epoch: 1 | remaining: 279s    
step 00036 (7.1%) | loss: 6.318021 | lrm: 1.00 | dt: 849ms | tok/sec: 308,788 | mfu: 8.6% | epoch: 1 | remaining: 278s    
step 00037 (7.4%) | loss: 6.291300 | lrm: 1.00 | dt: 849ms | tok/sec: 308,772 | mfu: 8.6% | epoch: 1 | remaining: 277s    
