[autoresearch/mar9 7db03fa] exp52: per-row WD text=0.1 audio=3.0
 1 file changed, 1 insertion(+), 1 deletion(-)
Vocab size: 20,482
Model config: {'sequence_len': 2048, 'vocab_size': 20482, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 10,486,784
  value_embeds            : 41,947,136
  lm_head                 : 10,486,784
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 88,087,056
Estimated FLOPs per token: 2.768333e+08
Per-row WD: text=0.1, audio=3.0
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.927724 | lrm: 1.00 | dt: 6210ms | tok/sec: 42,212 | mfu: 1.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 10.051339 | lrm: 1.00 | dt: 846ms | tok/sec: 309,869 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.847974 | lrm: 1.00 | dt: 846ms | tok/sec: 309,711 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.498151 | lrm: 1.00 | dt: 847ms | tok/sec: 309,619 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.189424 | lrm: 1.00 | dt: 847ms | tok/sec: 309,498 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.913045 | lrm: 1.00 | dt: 847ms | tok/sec: 309,505 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.672879 | lrm: 1.00 | dt: 847ms | tok/sec: 309,509 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.427930 | lrm: 1.00 | dt: 849ms | tok/sec: 308,692 | mfu: 8.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.206020 | lrm: 1.00 | dt: 847ms | tok/sec: 309,466 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.987035 | lrm: 1.00 | dt: 848ms | tok/sec: 309,233 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.823487 | lrm: 1.00 | dt: 849ms | tok/sec: 308,821 | mfu: 8.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.654216 | lrm: 1.00 | dt: 848ms | tok/sec: 309,168 | mfu: 8.6% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 7.510192 | lrm: 1.00 | dt: 848ms | tok/sec: 309,297 | mfu: 8.7% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 7.391334 | lrm: 1.00 | dt: 850ms | tok/sec: 308,346 | mfu: 8.6% | epoch: 1 | remaining: 297s    
step 00014 (0.8%) | loss: 7.293798 | lrm: 1.00 | dt: 848ms | tok/sec: 309,082 | mfu: 8.6% | epoch: 1 | remaining: 297s    
step 00015 (1.1%) | loss: 7.196681 | lrm: 1.00 | dt: 848ms | tok/sec: 308,970 | mfu: 8.6% | epoch: 1 | remaining: 296s    
step 00016 (1.4%) | loss: 7.109369 | lrm: 1.00 | dt: 849ms | tok/sec: 308,899 | mfu: 8.6% | epoch: 1 | remaining: 295s    
step 00017 (1.7%) | loss: 7.022347 | lrm: 1.00 | dt: 849ms | tok/sec: 308,907 | mfu: 8.6% | epoch: 1 | remaining: 294s    
step 00018 (2.0%) | loss: 6.955861 | lrm: 1.00 | dt: 849ms | tok/sec: 308,890 | mfu: 8.6% | epoch: 1 | remaining: 293s    
step 00019 (2.3%) | loss: 6.896434 | lrm: 1.00 | dt: 850ms | tok/sec: 308,549 | mfu: 8.6% | epoch: 1 | remaining: 292s    
step 00020 (2.5%) | loss: 6.842487 | lrm: 1.00 | dt: 849ms | tok/sec: 308,892 | mfu: 8.6% | epoch: 1 | remaining: 292s    
step 00021 (2.8%) | loss: 6.781486 | lrm: 1.00 | dt: 848ms | tok/sec: 308,961 | mfu: 8.6% | epoch: 1 | remaining: 291s    
step 00022 (3.1%) | loss: 6.738339 | lrm: 1.00 | dt: 849ms | tok/sec: 308,756 | mfu: 8.6% | epoch: 1 | remaining: 290s    
step 00023 (3.4%) | loss: 6.690579 | lrm: 1.00 | dt: 849ms | tok/sec: 308,723 | mfu: 8.6% | epoch: 1 | remaining: 289s    
step 00024 (3.7%) | loss: 6.651553 | lrm: 1.00 | dt: 849ms | tok/sec: 308,686 | mfu: 8.6% | epoch: 1 | remaining: 288s    
step 00025 (4.0%) | loss: 6.613809 | lrm: 1.00 | dt: 850ms | tok/sec: 308,513 | mfu: 8.6% | epoch: 1 | remaining: 287s    
step 00026 (4.2%) | loss: 6.586381 | lrm: 1.00 | dt: 849ms | tok/sec: 308,724 | mfu: 8.6% | epoch: 1 | remaining: 286s    
step 00027 (4.5%) | loss: 6.558246 | lrm: 1.00 | dt: 850ms | tok/sec: 308,360 | mfu: 8.6% | epoch: 1 | remaining: 286s    
step 00028 (4.8%) | loss: 6.516746 | lrm: 1.00 | dt: 850ms | tok/sec: 308,566 | mfu: 8.6% | epoch: 1 | remaining: 285s    
step 00029 (5.1%) | loss: 6.489651 | lrm: 1.00 | dt: 850ms | tok/sec: 308,393 | mfu: 8.6% | epoch: 1 | remaining: 284s    
step 00030 (5.4%) | loss: 6.459707 | lrm: 1.00 | dt: 850ms | tok/sec: 308,528 | mfu: 8.6% | epoch: 1 | remaining: 283s    
step 00031 (5.7%) | loss: 6.428590 | lrm: 1.00 | dt: 850ms | tok/sec: 308,486 | mfu: 8.6% | epoch: 1 | remaining: 282s    
step 00032 (5.9%) | loss: 6.399363 | lrm: 1.00 | dt: 849ms | tok/sec: 308,780 | mfu: 8.6% | epoch: 1 | remaining: 281s    
step 00033 (6.2%) | loss: 6.382857 | lrm: 1.00 | dt: 850ms | tok/sec: 308,440 | mfu: 8.6% | epoch: 1 | remaining: 280s    
step 00034 (6.5%) | loss: 6.369916 | lrm: 1.00 | dt: 849ms | tok/sec: 308,646 | mfu: 8.6% | epoch: 1 | remaining: 280s    
step 00035 (6.8%) | loss: 6.341718 | lrm: 1.00 | dt: 850ms | tok/sec: 308,543 | mfu: 8.6% | epoch: 1 | remaining: 279s    
step 00036 (7.1%) | loss: 6.322163 | lrm: 1.00 | dt: 849ms | tok/sec: 308,722 | mfu: 8.6% | epoch: 1 | remaining: 278s    
step 00037 (7.4%) | loss: 6.302973 | lrm: 1.00 | dt: 850ms | tok/sec: 308,575 | mfu: 8.6% | epoch: 1 | remaining: 277s    
step 00038 (7.6%) | loss: 6.278862 | lrm: 1.00 | dt: 851ms | tok/sec: 308,082 | mfu: 8.6% | epoch: 1 | remaining: 276s    
step 00039 (7.9%) | loss: 6.259813 | lrm: 1.00 | dt: 850ms | tok/sec: 308,539 | mfu: 8.6% | epoch: 1 | remaining: 275s    
step 00040 (8.2%) | loss: 6.237756 | lrm: 1.00 | dt: 849ms | tok/sec: 308,689 | mfu: 8.6% | epoch: 1 | remaining: 275s    
step 00041 (8.5%) | loss: 6.224226 | lrm: 1.00 | dt: 850ms | tok/sec: 308,490 | mfu: 8.6% | epoch: 1 | remaining: 274s    
step 00042 (8.8%) | loss: 6.213202 | lrm: 1.00 | dt: 850ms | tok/sec: 308,515 | mfu: 8.6% | epoch: 1 | remaining: 273s    
