[autoresearch/mar9 940cd87] exp58: per-row WD text=0.0 audio=2.5 all embeds
 1 file changed, 1 insertion(+), 1 deletion(-)
Vocab size: 20,482
Model config: {'sequence_len': 2048, 'vocab_size': 20482, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 10,486,784
  value_embeds            : 41,947,136
  lm_head                 : 10,486,784
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 88,087,056
Estimated FLOPs per token: 2.768333e+08
Per-row WD: text=0.0, audio=2.5
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.927843 | lrm: 1.00 | dt: 6086ms | tok/sec: 43,071 | mfu: 1.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 10.054040 | lrm: 1.00 | dt: 845ms | tok/sec: 310,334 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.837527 | lrm: 1.00 | dt: 846ms | tok/sec: 310,003 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.489081 | lrm: 1.00 | dt: 846ms | tok/sec: 309,888 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.187098 | lrm: 1.00 | dt: 846ms | tok/sec: 309,880 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.938010 | lrm: 1.00 | dt: 846ms | tok/sec: 309,868 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.741138 | lrm: 1.00 | dt: 846ms | tok/sec: 309,813 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.486541 | lrm: 1.00 | dt: 848ms | tok/sec: 309,194 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.279928 | lrm: 1.00 | dt: 846ms | tok/sec: 309,707 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.054946 | lrm: 1.00 | dt: 847ms | tok/sec: 309,675 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.887096 | lrm: 1.00 | dt: 849ms | tok/sec: 308,882 | mfu: 8.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.708070 | lrm: 1.00 | dt: 846ms | tok/sec: 309,705 | mfu: 8.7% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 7.557350 | lrm: 1.00 | dt: 847ms | tok/sec: 309,500 | mfu: 8.7% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 7.428082 | lrm: 1.00 | dt: 849ms | tok/sec: 308,935 | mfu: 8.6% | epoch: 1 | remaining: 297s    
step 00014 (0.8%) | loss: 7.321154 | lrm: 1.00 | dt: 847ms | tok/sec: 309,515 | mfu: 8.7% | epoch: 1 | remaining: 297s    
step 00015 (1.1%) | loss: 7.208957 | lrm: 1.00 | dt: 847ms | tok/sec: 309,596 | mfu: 8.7% | epoch: 1 | remaining: 296s    
step 00016 (1.4%) | loss: 7.111688 | lrm: 1.00 | dt: 847ms | tok/sec: 309,589 | mfu: 8.7% | epoch: 1 | remaining: 295s    
step 00017 (1.7%) | loss: 7.015406 | lrm: 1.00 | dt: 847ms | tok/sec: 309,401 | mfu: 8.7% | epoch: 1 | remaining: 294s    
step 00018 (2.0%) | loss: 6.943698 | lrm: 1.00 | dt: 847ms | tok/sec: 309,456 | mfu: 8.7% | epoch: 1 | remaining: 293s    
step 00019 (2.3%) | loss: 6.877054 | lrm: 1.00 | dt: 847ms | tok/sec: 309,498 | mfu: 8.7% | epoch: 1 | remaining: 292s    
step 00020 (2.5%) | loss: 6.809411 | lrm: 1.00 | dt: 847ms | tok/sec: 309,488 | mfu: 8.7% | epoch: 1 | remaining: 292s    
step 00021 (2.8%) | loss: 6.738858 | lrm: 1.00 | dt: 847ms | tok/sec: 309,432 | mfu: 8.7% | epoch: 1 | remaining: 291s    
step 00022 (3.1%) | loss: 6.678391 | lrm: 1.00 | dt: 848ms | tok/sec: 309,017 | mfu: 8.6% | epoch: 1 | remaining: 290s    
step 00023 (3.4%) | loss: 6.624622 | lrm: 1.00 | dt: 848ms | tok/sec: 309,150 | mfu: 8.6% | epoch: 1 | remaining: 289s    
step 00024 (3.7%) | loss: 6.580797 | lrm: 1.00 | dt: 847ms | tok/sec: 309,316 | mfu: 8.7% | epoch: 1 | remaining: 288s    
step 00025 (4.0%) | loss: 6.537466 | lrm: 1.00 | dt: 847ms | tok/sec: 309,473 | mfu: 8.7% | epoch: 1 | remaining: 287s    
step 00026 (4.2%) | loss: 6.502835 | lrm: 1.00 | dt: 847ms | tok/sec: 309,411 | mfu: 8.7% | epoch: 1 | remaining: 286s    
step 00027 (4.5%) | loss: 6.466595 | lrm: 1.00 | dt: 848ms | tok/sec: 309,247 | mfu: 8.7% | epoch: 1 | remaining: 286s    
step 00028 (4.8%) | loss: 6.425286 | lrm: 1.00 | dt: 848ms | tok/sec: 309,250 | mfu: 8.7% | epoch: 1 | remaining: 285s    
step 00029 (5.1%) | loss: 6.381130 | lrm: 1.00 | dt: 849ms | tok/sec: 308,925 | mfu: 8.6% | epoch: 1 | remaining: 284s    
step 00030 (5.4%) | loss: 6.348796 | lrm: 1.00 | dt: 849ms | tok/sec: 308,590 | mfu: 8.6% | epoch: 1 | remaining: 283s    
step 00031 (5.6%) | loss: 6.311469 | lrm: 1.00 | dt: 848ms | tok/sec: 308,970 | mfu: 8.6% | epoch: 1 | remaining: 282s    
step 00032 (5.9%) | loss: 6.278734 | lrm: 1.00 | dt: 849ms | tok/sec: 308,876 | mfu: 8.6% | epoch: 1 | remaining: 281s    
step 00033 (6.2%) | loss: 6.251989 | lrm: 1.00 | dt: 848ms | tok/sec: 309,007 | mfu: 8.6% | epoch: 1 | remaining: 281s    
step 00034 (6.5%) | loss: 6.229596 | lrm: 1.00 | dt: 848ms | tok/sec: 309,032 | mfu: 8.6% | epoch: 1 | remaining: 280s    
step 00035 (6.8%) | loss: 6.194831 | lrm: 1.00 | dt: 849ms | tok/sec: 308,949 | mfu: 8.6% | epoch: 1 | remaining: 279s    
step 00036 (7.1%) | loss: 6.161029 | lrm: 1.00 | dt: 849ms | tok/sec: 308,827 | mfu: 8.6% | epoch: 1 | remaining: 278s    
step 00037 (7.3%) | loss: 6.138473 | lrm: 1.00 | dt: 848ms | tok/sec: 309,014 | mfu: 8.6% | epoch: 1 | remaining: 277s    
step 00038 (7.6%) | loss: 6.107746 | lrm: 1.00 | dt: 849ms | tok/sec: 308,593 | mfu: 8.6% | epoch: 1 | remaining: 276s    
step 00039 (7.9%) | loss: 6.081066 | lrm: 1.00 | dt: 849ms | tok/sec: 308,734 | mfu: 8.6% | epoch: 1 | remaining: 275s    
step 00040 (8.2%) | loss: 6.054869 | lrm: 1.00 | dt: 849ms | tok/sec: 308,816 | mfu: 8.6% | epoch: 1 | remaining: 275s    
step 00041 (8.5%) | loss: 6.035965 | lrm: 1.00 | dt: 849ms | tok/sec: 308,887 | mfu: 8.6% | epoch: 1 | remaining: 274s    
step 00042 (8.8%) | loss: 6.018127 | lrm: 1.00 | dt: 849ms | tok/sec: 308,693 | mfu: 8.6% | epoch: 1 | remaining: 273s    
