[autoresearch/mar9 8a7d425] exp60: dropout=0.05 with per-row WD
 1 file changed, 1 insertion(+), 1 deletion(-)
Vocab size: 20,482
Model config: {'sequence_len': 2048, 'vocab_size': 20482, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 10,486,784
  value_embeds            : 41,947,136
  lm_head                 : 10,486,784
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 88,087,056
Estimated FLOPs per token: 2.768333e+08
Per-row WD: text=0.0, audio=2.5
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.927778 | lrm: 1.00 | dt: 12118ms | tok/sec: 21,632 | mfu: 0.6% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 10.054349 | lrm: 1.00 | dt: 844ms | tok/sec: 310,492 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.833974 | lrm: 1.00 | dt: 850ms | tok/sec: 308,584 | mfu: 8.6% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.483661 | lrm: 1.00 | dt: 846ms | tok/sec: 309,946 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.185365 | lrm: 1.00 | dt: 846ms | tok/sec: 309,927 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.936879 | lrm: 1.00 | dt: 846ms | tok/sec: 309,987 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.735974 | lrm: 1.00 | dt: 846ms | tok/sec: 309,912 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.485888 | lrm: 1.00 | dt: 849ms | tok/sec: 308,900 | mfu: 8.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.275790 | lrm: 1.00 | dt: 846ms | tok/sec: 309,709 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.050477 | lrm: 1.00 | dt: 846ms | tok/sec: 309,712 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.885971 | lrm: 1.00 | dt: 849ms | tok/sec: 308,903 | mfu: 8.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.706659 | lrm: 1.00 | dt: 847ms | tok/sec: 309,660 | mfu: 8.7% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 7.560283 | lrm: 1.00 | dt: 847ms | tok/sec: 309,660 | mfu: 8.7% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 7.427560 | lrm: 1.00 | dt: 848ms | tok/sec: 309,166 | mfu: 8.6% | epoch: 1 | remaining: 297s    
step 00014 (0.8%) | loss: 7.319243 | lrm: 1.00 | dt: 847ms | tok/sec: 309,593 | mfu: 8.7% | epoch: 1 | remaining: 297s    
step 00015 (1.1%) | loss: 7.208765 | lrm: 1.00 | dt: 847ms | tok/sec: 309,576 | mfu: 8.7% | epoch: 1 | remaining: 296s    
step 00016 (1.4%) | loss: 7.107987 | lrm: 1.00 | dt: 847ms | tok/sec: 309,426 | mfu: 8.7% | epoch: 1 | remaining: 295s    
step 00017 (1.7%) | loss: 7.015774 | lrm: 1.00 | dt: 847ms | tok/sec: 309,580 | mfu: 8.7% | epoch: 1 | remaining: 294s    
step 00018 (2.0%) | loss: 6.941128 | lrm: 1.00 | dt: 847ms | tok/sec: 309,489 | mfu: 8.7% | epoch: 1 | remaining: 293s    
step 00019 (2.3%) | loss: 6.874293 | lrm: 1.00 | dt: 847ms | tok/sec: 309,393 | mfu: 8.7% | epoch: 1 | remaining: 292s    
step 00020 (2.5%) | loss: 6.808568 | lrm: 1.00 | dt: 848ms | tok/sec: 309,206 | mfu: 8.7% | epoch: 1 | remaining: 292s    
step 00021 (2.8%) | loss: 6.738440 | lrm: 1.00 | dt: 847ms | tok/sec: 309,415 | mfu: 8.7% | epoch: 1 | remaining: 291s    
step 00022 (3.1%) | loss: 6.677601 | lrm: 1.00 | dt: 849ms | tok/sec: 308,848 | mfu: 8.6% | epoch: 1 | remaining: 290s    
step 00023 (3.4%) | loss: 6.622014 | lrm: 1.00 | dt: 847ms | tok/sec: 309,479 | mfu: 8.7% | epoch: 1 | remaining: 289s    
step 00024 (3.7%) | loss: 6.574137 | lrm: 1.00 | dt: 847ms | tok/sec: 309,413 | mfu: 8.7% | epoch: 1 | remaining: 288s    
step 00025 (4.0%) | loss: 6.530555 | lrm: 1.00 | dt: 848ms | tok/sec: 309,268 | mfu: 8.7% | epoch: 1 | remaining: 287s    
step 00026 (4.2%) | loss: 6.497802 | lrm: 1.00 | dt: 847ms | tok/sec: 309,332 | mfu: 8.7% | epoch: 1 | remaining: 286s    
step 00027 (4.5%) | loss: 6.462157 | lrm: 1.00 | dt: 847ms | tok/sec: 309,454 | mfu: 8.7% | epoch: 1 | remaining: 286s    
step 00028 (4.8%) | loss: 6.417301 | lrm: 1.00 | dt: 847ms | tok/sec: 309,431 | mfu: 8.7% | epoch: 1 | remaining: 285s    
step 00029 (5.1%) | loss: 6.373002 | lrm: 1.00 | dt: 848ms | tok/sec: 309,278 | mfu: 8.7% | epoch: 1 | remaining: 284s    
step 00030 (5.4%) | loss: 6.340868 | lrm: 1.00 | dt: 849ms | tok/sec: 308,722 | mfu: 8.6% | epoch: 1 | remaining: 283s    
step 00031 (5.6%) | loss: 6.305417 | lrm: 1.00 | dt: 848ms | tok/sec: 309,158 | mfu: 8.6% | epoch: 1 | remaining: 282s    
step 00032 (5.9%) | loss: 6.270317 | lrm: 1.00 | dt: 848ms | tok/sec: 309,024 | mfu: 8.6% | epoch: 1 | remaining: 281s    
step 00033 (6.2%) | loss: 6.246769 | lrm: 1.00 | dt: 849ms | tok/sec: 308,918 | mfu: 8.6% | epoch: 1 | remaining: 281s    
step 00034 (6.5%) | loss: 6.223973 | lrm: 1.00 | dt: 848ms | tok/sec: 309,122 | mfu: 8.6% | epoch: 1 | remaining: 280s    
step 00035 (6.8%) | loss: 6.194163 | lrm: 1.00 | dt: 848ms | tok/sec: 309,045 | mfu: 8.6% | epoch: 1 | remaining: 279s    
step 00036 (7.1%) | loss: 6.162874 | lrm: 1.00 | dt: 848ms | tok/sec: 309,046 | mfu: 8.6% | epoch: 1 | remaining: 278s    
step 00037 (7.3%) | loss: 6.133319 | lrm: 1.00 | dt: 848ms | tok/sec: 309,131 | mfu: 8.6% | epoch: 1 | remaining: 277s    
