Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.927773 | lrm: 1.00 | dt: 6370ms | tok/sec: 41,155 | mfu: 1.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 10.053984 | lrm: 1.00 | dt: 843ms | tok/sec: 310,782 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.829472 | lrm: 1.00 | dt: 844ms | tok/sec: 310,664 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.484579 | lrm: 1.00 | dt: 845ms | tok/sec: 310,262 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.190624 | lrm: 1.00 | dt: 846ms | tok/sec: 310,032 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.941703 | lrm: 1.00 | dt: 845ms | tok/sec: 310,410 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.744873 | lrm: 1.00 | dt: 846ms | tok/sec: 309,845 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.485909 | lrm: 1.00 | dt: 847ms | tok/sec: 309,594 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.275404 | lrm: 1.00 | dt: 845ms | tok/sec: 310,119 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.053248 | lrm: 1.00 | dt: 846ms | tok/sec: 309,953 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.886761 | lrm: 1.00 | dt: 848ms | tok/sec: 309,218 | mfu: 8.7% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.708582 | lrm: 1.00 | dt: 846ms | tok/sec: 309,866 | mfu: 8.7% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 7.555072 | lrm: 1.00 | dt: 846ms | tok/sec: 309,739 | mfu: 8.7% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 7.428230 | lrm: 1.00 | dt: 847ms | tok/sec: 309,378 | mfu: 8.7% | epoch: 1 | remaining: 297s    
step 00014 (0.8%) | loss: 7.316782 | lrm: 1.00 | dt: 846ms | tok/sec: 309,896 | mfu: 8.7% | epoch: 1 | remaining: 297s    
step 00015 (1.1%) | loss: 7.207601 | lrm: 1.00 | dt: 846ms | tok/sec: 309,812 | mfu: 8.7% | epoch: 1 | remaining: 296s    
step 00016 (1.4%) | loss: 7.110671 | lrm: 1.00 | dt: 846ms | tok/sec: 309,745 | mfu: 8.7% | epoch: 1 | remaining: 295s    
step 00017 (1.7%) | loss: 7.015250 | lrm: 1.00 | dt: 847ms | tok/sec: 309,641 | mfu: 8.7% | epoch: 1 | remaining: 294s    
step 00018 (2.0%) | loss: 6.940915 | lrm: 1.00 | dt: 847ms | tok/sec: 309,646 | mfu: 8.7% | epoch: 1 | remaining: 293s    
step 00019 (2.3%) | loss: 6.873729 | lrm: 1.00 | dt: 846ms | tok/sec: 309,759 | mfu: 8.7% | epoch: 1 | remaining: 292s    
step 00020 (2.5%) | loss: 6.809088 | lrm: 1.00 | dt: 846ms | tok/sec: 309,742 | mfu: 8.7% | epoch: 1 | remaining: 292s    
step 00021 (2.8%) | loss: 6.739424 | lrm: 1.00 | dt: 847ms | tok/sec: 309,630 | mfu: 8.7% | epoch: 1 | remaining: 291s    
step 00022 (3.1%) | loss: 6.680151 | lrm: 1.00 | dt: 848ms | tok/sec: 309,067 | mfu: 8.6% | epoch: 1 | remaining: 290s    
step 00023 (3.4%) | loss: 6.628001 | lrm: 1.00 | dt: 846ms | tok/sec: 309,770 | mfu: 8.7% | epoch: 1 | remaining: 289s    
step 00024 (3.7%) | loss: 6.581994 | lrm: 1.00 | dt: 847ms | tok/sec: 309,448 | mfu: 8.7% | epoch: 1 | remaining: 288s    
step 00025 (4.0%) | loss: 6.533290 | lrm: 1.00 | dt: 847ms | tok/sec: 309,642 | mfu: 8.7% | epoch: 1 | remaining: 287s    
step 00026 (4.2%) | loss: 6.499126 | lrm: 1.00 | dt: 847ms | tok/sec: 309,390 | mfu: 8.7% | epoch: 1 | remaining: 286s    
step 00027 (4.5%) | loss: 6.466094 | lrm: 1.00 | dt: 847ms | tok/sec: 309,492 | mfu: 8.7% | epoch: 1 | remaining: 286s    
step 00028 (4.8%) | loss: 6.422897 | lrm: 1.00 | dt: 847ms | tok/sec: 309,405 | mfu: 8.7% | epoch: 1 | remaining: 285s    
step 00029 (5.1%) | loss: 6.387333 | lrm: 1.00 | dt: 847ms | tok/sec: 309,535 | mfu: 8.7% | epoch: 1 | remaining: 284s    
step 00030 (5.4%) | loss: 6.353161 | lrm: 1.00 | dt: 849ms | tok/sec: 308,841 | mfu: 8.6% | epoch: 1 | remaining: 283s    
step 00031 (5.6%) | loss: 6.319494 | lrm: 1.00 | dt: 847ms | tok/sec: 309,676 | mfu: 8.7% | epoch: 1 | remaining: 282s    
step 00032 (5.9%) | loss: 6.282227 | lrm: 1.00 | dt: 847ms | tok/sec: 309,491 | mfu: 8.7% | epoch: 1 | remaining: 281s    
step 00033 (6.2%) | loss: 6.258789 | lrm: 1.00 | dt: 847ms | tok/sec: 309,527 | mfu: 8.7% | epoch: 1 | remaining: 281s    
step 00034 (6.5%) | loss: 6.236343 | lrm: 1.00 | dt: 847ms | tok/sec: 309,486 | mfu: 8.7% | epoch: 1 | remaining: 280s    
step 00035 (6.8%) | loss: 6.208658 | lrm: 1.00 | dt: 847ms | tok/sec: 309,420 | mfu: 8.7% | epoch: 1 | remaining: 279s    
step 00036 (7.1%) | loss: 6.178264 | lrm: 1.00 | dt: 847ms | tok/sec: 309,436 | mfu: 8.7% | epoch: 1 | remaining: 278s    
step 00037 (7.3%) | loss: 6.154509 | lrm: 1.00 | dt: 847ms | tok/sec: 309,322 | mfu: 8.7% | epoch: 1 | remaining: 277s    
step 00038 (7.6%) | loss: 6.118256 | lrm: 1.00 | dt: 849ms | tok/sec: 308,841 | mfu: 8.6% | epoch: 1 | remaining: 276s    
step 00039 (7.9%) | loss: 6.098612 | lrm: 1.00 | dt: 848ms | tok/sec: 309,303 | mfu: 8.7% | epoch: 1 | remaining: 275s    
step 00040 (8.2%) | loss: 6.079398 | lrm: 1.00 | dt: 848ms | tok/sec: 309,038 | mfu: 8.6% | epoch: 1 | remaining: 275s    
step 00041 (8.5%) | loss: 6.060326 | lrm: 1.00 | dt: 848ms | tok/sec: 309,162 | mfu: 8.6% | epoch: 1 | remaining: 274s    
step 00042 (8.8%) | loss: 6.042567 | lrm: 1.00 | dt: 848ms | tok/sec: 309,043 | mfu: 8.6% | epoch: 1 | remaining: 273s    
step 00043 (9.0%) | loss: 6.011147 | lrm: 1.00 | dt: 848ms | tok/sec: 309,088 | mfu: 8.6% | epoch: 1 | remaining: 272s    
step 00044 (9.3%) | loss: 5.987245 | lrm: 1.00 | dt: 848ms | tok/sec: 309,091 | mfu: 8.6% | epoch: 1 | remaining: 271s    
step 00045 (9.6%) | loss: 5.970592 | lrm: 1.00 | dt: 848ms | tok/sec: 309,014 | mfu: 8.6% | epoch: 1 | remaining: 270s    
step 00046 (9.9%) | loss: 5.938179 | lrm: 1.00 | dt: 849ms | tok/sec: 308,925 | mfu: 8.6% | epoch: 1 | remaining: 270s    
step 00047 (10.2%) | loss: 5.909727 | lrm: 1.00 | dt: 848ms | tok/sec: 308,951 | mfu: 8.6% | epoch: 1 | remaining: 269s    
step 00048 (10.4%) | loss: 5.888575 | lrm: 1.00 | dt: 849ms | tok/sec: 308,830 | mfu: 8.6% | epoch: 1 | remaining: 268s    
step 00049 (10.7%) | loss: 5.869676 | lrm: 1.00 | dt: 848ms | tok/sec: 308,964 | mfu: 8.6% | epoch: 1 | remaining: 267s    
step 00050 (11.0%) | loss: 5.841456 | lrm: 1.00 | dt: 849ms | tok/sec: 308,887 | mfu: 8.6% | epoch: 1 | remaining: 266s    
step 00051 (11.3%) | loss: 5.818024 | lrm: 1.00 | dt: 848ms | tok/sec: 309,016 | mfu: 8.6% | epoch: 1 | remaining: 265s    
step 00052 (11.6%) | loss: 5.799180 | lrm: 1.00 | dt: 849ms | tok/sec: 308,853 | mfu: 8.6% | epoch: 1 | remaining: 264s    
step 00053 (11.9%) | loss: 5.783214 | lrm: 1.00 | dt: 849ms | tok/sec: 308,791 | mfu: 8.6% | epoch: 1 | remaining: 264s    
step 00054 (12.1%) | loss: 5.755631 | lrm: 1.00 | dt: 849ms | tok/sec: 308,736 | mfu: 8.6% | epoch: 1 | remaining: 263s    
step 00055 (12.4%) | loss: 5.730344 | lrm: 1.00 | dt: 849ms | tok/sec: 308,635 | mfu: 8.6% | epoch: 1 | remaining: 262s    
step 00056 (12.7%) | loss: 5.719204 | lrm: 1.00 | dt: 849ms | tok/sec: 308,607 | mfu: 8.6% | epoch: 1 | remaining: 261s    
step 00057 (13.0%) | loss: 5.708272 | lrm: 1.00 | dt: 849ms | tok/sec: 308,698 | mfu: 8.6% | epoch: 1 | remaining: 260s    
step 00058 (13.3%) | loss: 5.688388 | lrm: 1.00 | dt: 849ms | tok/sec: 308,787 | mfu: 8.6% | epoch: 1 | remaining: 259s    
step 00059 (13.6%) | loss: 5.660037 | lrm: 1.00 | dt: 849ms | tok/sec: 308,675 | mfu: 8.6% | epoch: 1 | remaining: 258s    
step 00060 (13.8%) | loss: 5.640389 | lrm: 1.00 | dt: 850ms | tok/sec: 308,562 | mfu: 8.6% | epoch: 1 | remaining: 258s    
step 00061 (14.1%) | loss: 5.624284 | lrm: 1.00 | dt: 849ms | tok/sec: 308,664 | mfu: 8.6% | epoch: 1 | remaining: 257s    
step 00062 (14.4%) | loss: 5.602354 | lrm: 1.00 | dt: 850ms | tok/sec: 308,527 | mfu: 8.6% | epoch: 1 | remaining: 256s    
step 00063 (14.7%) | loss: 5.586371 | lrm: 1.00 | dt: 851ms | tok/sec: 308,148 | mfu: 8.6% | epoch: 1 | remaining: 255s    
step 00064 (15.0%) | loss: 5.561448 | lrm: 1.00 | dt: 849ms | tok/sec: 308,638 | mfu: 8.6% | epoch: 1 | remaining: 254s    
step 00065 (15.3%) | loss: 5.535447 | lrm: 1.00 | dt: 850ms | tok/sec: 308,534 | mfu: 8.6% | epoch: 1 | remaining: 253s    
step 00066 (15.5%) | loss: 5.511521 | lrm: 1.00 | dt: 850ms | tok/sec: 308,452 | mfu: 8.6% | epoch: 1 | remaining: 253s    
step 00067 (15.8%) | loss: 5.497211 | lrm: 1.00 | dt: 850ms | tok/sec: 308,489 | mfu: 8.6% | epoch: 1 | remaining: 252s    
step 00068 (16.1%) | loss: 5.476328 | lrm: 1.00 | dt: 850ms | tok/sec: 308,512 | mfu: 8.6% | epoch: 1 | remaining: 251s    
step 00069 (16.4%) | loss: 5.460905 | lrm: 1.00 | dt: 851ms | tok/sec: 307,913 | mfu: 8.6% | epoch: 1 | remaining: 250s    
step 00070 (16.7%) | loss: 5.439893 | lrm: 1.00 | dt: 850ms | tok/sec: 308,372 | mfu: 8.6% | epoch: 1 | remaining: 249s    
step 00071 (17.0%) | loss: 5.415882 | lrm: 1.00 | dt: 850ms | tok/sec: 308,490 | mfu: 8.6% | epoch: 1 | remaining: 248s    
step 00072 (17.2%) | loss: 5.390079 | lrm: 1.00 | dt: 850ms | tok/sec: 308,509 | mfu: 8.6% | epoch: 1 | remaining: 247s    
step 00073 (17.5%) | loss: 5.378246 | lrm: 1.00 | dt: 850ms | tok/sec: 308,467 | mfu: 8.6% | epoch: 1 | remaining: 247s    
step 00074 (17.8%) | loss: 5.374711 | lrm: 1.00 | dt: 850ms | tok/sec: 308,440 | mfu: 8.6% | epoch: 1 | remaining: 246s    
step 00075 (18.1%) | loss: 5.352527 | lrm: 1.00 | dt: 850ms | tok/sec: 308,414 | mfu: 8.6% | epoch: 1 | remaining: 245s    
step 00076 (18.4%) | loss: 5.333696 | lrm: 1.00 | dt: 850ms | tok/sec: 308,428 | mfu: 8.6% | epoch: 1 | remaining: 244s    
step 00077 (18.7%) | loss: 5.314540 | lrm: 1.00 | dt: 850ms | tok/sec: 308,517 | mfu: 8.6% | epoch: 1 | remaining: 243s    
step 00078 (18.9%) | loss: 5.291408 | lrm: 1.00 | dt: 850ms | tok/sec: 308,574 | mfu: 8.6% | epoch: 1 | remaining: 242s    
step 00079 (19.2%) | loss: 5.273731 | lrm: 1.00 | dt: 850ms | tok/sec: 308,498 | mfu: 8.6% | epoch: 1 | remaining: 241s    
step 00080 (19.5%) | loss: 5.254383 | lrm: 1.00 | dt: 850ms | tok/sec: 308,462 | mfu: 8.6% | epoch: 1 | remaining: 241s    
step 00081 (19.8%) | loss: 5.242847 | lrm: 1.00 | dt: 850ms | tok/sec: 308,399 | mfu: 8.6% | epoch: 1 | remaining: 240s    
step 00082 (20.1%) | loss: 5.225177 | lrm: 1.00 | dt: 850ms | tok/sec: 308,552 | mfu: 8.6% | epoch: 1 | remaining: 239s    
step 00083 (20.4%) | loss: 5.206712 | lrm: 1.00 | dt: 850ms | tok/sec: 308,278 | mfu: 8.6% | epoch: 1 | remaining: 238s    
step 00084 (20.6%) | loss: 5.196193 | lrm: 1.00 | dt: 850ms | tok/sec: 308,520 | mfu: 8.6% | epoch: 1 | remaining: 237s    
step 00085 (20.9%) | loss: 5.184957 | lrm: 1.00 | dt: 851ms | tok/sec: 308,171 | mfu: 8.6% | epoch: 1 | remaining: 236s    
step 00086 (21.2%) | loss: 5.180346 | lrm: 1.00 | dt: 850ms | tok/sec: 308,511 | mfu: 8.6% | epoch: 1 | remaining: 236s    
step 00087 (21.5%) | loss: 5.169159 | lrm: 1.00 | dt: 850ms | tok/sec: 308,432 | mfu: 8.6% | epoch: 1 | remaining: 235s    
step 00088 (21.8%) | loss: 5.156610 | lrm: 1.00 | dt: 850ms | tok/sec: 308,427 | mfu: 8.6% | epoch: 1 | remaining: 234s    
step 00089 (22.1%) | loss: 5.150308 | lrm: 1.00 | dt: 850ms | tok/sec: 308,423 | mfu: 8.6% | epoch: 1 | remaining: 233s    
step 00090 (22.3%) | loss: 5.130873 | lrm: 1.00 | dt: 851ms | tok/sec: 307,996 | mfu: 8.6% | epoch: 1 | remaining: 232s    
step 00091 (22.6%) | loss: 5.109756 | lrm: 1.00 | dt: 850ms | tok/sec: 308,405 | mfu: 8.6% | epoch: 1 | remaining: 231s    
step 00092 (22.9%) | loss: 5.100172 | lrm: 1.00 | dt: 850ms | tok/sec: 308,320 | mfu: 8.6% | epoch: 1 | remaining: 230s    
step 00093 (23.2%) | loss: 5.086381 | lrm: 1.00 | dt: 850ms | tok/sec: 308,310 | mfu: 8.6% | epoch: 1 | remaining: 230s    
step 00094 (23.5%) | loss: 5.083159 | lrm: 1.00 | dt: 850ms | tok/sec: 308,352 | mfu: 8.6% | epoch: 1 | remaining: 229s    
step 00095 (23.8%) | loss: 5.082850 | lrm: 1.00 | dt: 851ms | tok/sec: 308,139 | mfu: 8.6% | epoch: 1 | remaining: 228s    
step 00096 (24.0%) | loss: 5.071088 | lrm: 1.00 | dt: 850ms | tok/sec: 308,440 | mfu: 8.6% | epoch: 1 | remaining: 227s    
step 00097 (24.3%) | loss: 5.052145 | lrm: 1.00 | dt: 850ms | tok/sec: 308,366 | mfu: 8.6% | epoch: 1 | remaining: 226s    
step 00098 (24.6%) | loss: 5.047627 | lrm: 1.00 | dt: 850ms | tok/sec: 308,281 | mfu: 8.6% | epoch: 1 | remaining: 225s    
