commit	val_loss	text_bpb	audio_loss	memory_gb	status	description
9c4f919	5.125476	1.201054	10.395206	16.3	keep	baseline: SDPA/FlexAttn, depth=8, bs=16, 88M params
27ffbf5	5.362470	1.849501	5.801337	22.1	discard	no VE, depth=8, bs=32, chunked loss — worse val_loss
786b32c	5.194717	1.206856	10.623520	16.3	discard	Muon LR 0.06, warmup 5%, warmdown 30% — worse
b14f528	5.122001	1.143331	10.867389	16.3	keep	batch 262K, 366 steps — slight improvement
c647a49	5.185126	1.120744	11.309889	16.3	discard	batch 131K, 716 steps — too small batch
e98e5bd	5.172071	1.149300	11.017435	16.3	discard	emb LR 0.4, warmup 5%, warmdown 40% — worse
5c13a73	5.127010	1.142410	10.895058	16.3	discard	emb LR 0.8 — marginal worse
b628292	5.126620	1.140969	10.905614	16.3	discard	Muon WD 0.4 — marginal worse
d50f4c5	5.155797	1.148868	10.956075	16.3	discard	Adam beta1=0.9 — worse
379c0b3	5.156691	1.139756	11.035970	16.3	discard	final LR 0.1 — worse
7156a44	5.123625	1.143379	10.873630	16.3	discard	Muon mom warmup 100 steps — same
71cd002	5.094501	1.144314	10.749239	16.3	keep	warmdown 0.7 — new best!
4db6240	5.107352	1.149916	10.753293	16.3	discard	warmdown 0.8 — worse than 0.7
c17a1d1	5.090033	1.140289	10.765001	16.3	keep	Muon LR 0.05 + warmdown 0.7 — new best!
e08efcb	5.088529	1.140696	10.755686	16.3	keep	Muon LR 0.06 — new best!
93bc754	5.099845	1.138763	10.817467	16.3	discard	Muon LR 0.08 — too high
a2640d5	5.203514	1.137832	11.239598	16.3	discard	unembed LR 0.008 — much worse
d57904c	5.095222	1.145155	10.744764	16.3	discard	NS steps 4 — worse quality
5c857c9	5.019507	1.140309	10.482942	16.3	keep	embed WD 0.01 — BIG improvement!
7ede099	4.990181	1.141489	10.355735	16.3	keep	embed WD 0.02 — even better!
ce77619	4.900815	1.154140	9.891789	16.3	keep	embed WD 0.05 — huge improvement!
477105b	4.826594	1.169506	9.465718	16.3	keep	embed WD 0.1 — even better!
3935201	4.768300	1.187649	9.079455	16.3	keep	embed WD 0.2 — keeps improving!
31dbd1f	4.700718	1.213200	8.594238	16.3	keep	embed WD 0.4 — still improving!
1fa9440	4.613498	1.240317	8.017344	16.3	keep	embed WD 0.8 — massive improvement!
596c8fa	4.530209	1.276309	7.381209	16.3	keep	embed WD 1.5 — still going!
64f95b8	5.097722	1.620748	6.752796	16.3	discard	embed WD 3.0 — too much, killed text
526dec7	4.458751	1.284223	7.028755	16.3	keep	embed WD 2.0 — new best!
616990c	4.472494	1.356436	6.475995	16.3	discard	embed WD 2.5 — text degraded too much
74f4dab	0.000000	0.000000	0.000000	16.3	crash	VE WD=4.0 — NaN
4738364	4.452166	1.287248	6.977052	16.3	keep	lm_head WD=0.1 — slight improvement
c8e8283	4.414777	1.283318	6.860397	16.3	keep	lm_head WD=0.5 — nice improvement!
45bb689	4.401589	1.312160	6.565165	16.3	keep	lm_head WD=1.0 — new best!
ab2d06c	4.333536	1.300959	6.387310	16.3	keep	lm_head WD=2.0 — new best!
daf5678	4.362189	1.333984	6.223897	16.3	discard	lm_head WD=4.0 — too much
c9fbb03	4.324084	1.294200	6.406475	16.3	keep	Muon WD 0.5 — new best!
2091476	4.343297	1.310099	6.349639	16.3	discard	Muon WD 1.0 — worse
d7d1ab9	4.381571	1.276097	6.788771	16.3	discard	emb LR 0.3 — worse
b2ba67f	6.318506	2.053668	7.987688	16.3	discard	emb LR 1.0 — way too high
d5010f4	4.313836	1.293437	6.371786	16.3	keep	constant Muon WD — new best!
abc1f20	4.317321	1.293158	6.387897	16.3	discard	softcap 30 — same
0d05510	4.292375	1.300615	6.225038	16.3	keep	dropout=0.1 — new best!
315a703	4.319198	1.315768	6.205117	16.3	discard	dropout=0.15 — too much
96f17ec	4.367355	1.327162	6.301672	16.3	discard	audio_weight=1.5 — gap narrowed but val worse
3c2a621	4.328298	1.313843	6.257895	16.3	discard	audio_weight=1.2 — marginal worse than 1.0
d93c2c7	4.401307	1.354441	6.207928	16.3	discard	embed betas(0.6,0.85) — text degraded, gap wider
976260b	4.777961	1.401733	7.316651	16.3	discard	audio_ratio=0.5 — worse, text degraded heavily
ecd78e2	5.126116	1.628973	6.797142	16.3	discard	dual-NS Muon — too slow, text collapsed
8db35d1	0.000000	0.000000	0.000000	16.3	crash	per-row WD text=0.5 audio=4.0 — NaN in eval
11f7b69	4.279630	1.292848	6.239632	16.3	keep	per-row WD wte — text=1.0 audio=3.0 — new best!
c2a5fd6	4.222617	1.267437	6.225405	16.3	keep	per-row WD text=0.5 audio=3.0 — new best!
0b57fd4	4.172590	1.241119	6.247160	16.3	keep	per-row WD text=0.2 audio=3.0 — new best!
7db03fa	4.149235	1.226269	6.278694	16.3	keep	per-row WD text=0.1 audio=3.0 — new best!
ac6dfe2	4.107928	1.204007	6.300972	16.3	keep	per-row WD text=0.0 audio=3.0 — new best! text near-baseline
bf3dda0	0.000000	0.000000	0.000000	16.3	crash	per-row WD text=0.0 audio=5.0 — NaN
fbc686a	4.221323	1.208465	6.716815	16.3	discard	per-row WD text=0.0 audio=3.5 — too much audio WD
1980d79	4.103846	1.180117	6.485147	16.3	keep	per-row WD wte+VE — text=0.0 audio=3.0 — new best!
5ba7941	4.078157	1.167415	6.489615	16.3	keep	per-row WD all embeds — text=0.0 audio=3.0 — new best!
940cd87	3.995318	1.157819	6.238790	16.3	keep	per-row WD text=0.0 audio=2.5 — broke 4.0! new best!
9b760a7	4.041019	1.161420	6.391391	16.3	discard	per-row WD text=0.0 audio=2.0 — audio worse
8a7d425	3.992982	1.153122	6.268985	16.3	keep	dropout=0.05 + per-row WD — marginal best
